energy,intensity,InitialState,FinalState,alpha,gamma
273.80,0.128,2482.47_214Po,2208.69_214Po,0,1
274.80,0.355,533.68_214Bi,258.87_214Bi,0.48,1
280.97,0.067,2728.61_214Po,2447.70_214Po,0,1
295.22,18.42,295.22_214Bi,0.00_214Bi,0.46,1
298.00,5.2e-05,1097.70_210Pb,799.70_210Pb,0.1194,1
298.76,0.026,351.93_214Bi,53.23_214Bi,0.3,1
304.20,0.038,1847.44_214Po,1543.37_214Po,0.3,1
304.20,0.038,2508.17_214Po,2204.09_214Po,0,1
305.26,0.0312,839.01_214Bi,533.68_214Bi,0.0292,1
314.33,0.078,377.04_214Bi,62.69_214Bi,0,1
323.84,0.029,377.04_214Bi,53.23_214Bi,0,1
333.37,0.065,1994.64_214Po,1661.28_214Po,0.0247,1
334.64,0.037,2482.47_214Po,2147.83_214Po,0,1
334.78,0.037,2423.23_214Po,2088.44_214Po,0,1
348.92,0.104,1764.52_214Po,1415.49_214Po,0.335,1
351.90,0.07,1729.61_214Po,1377.68_214Po,0.2,1
351.93,35.6,351.93_214Bi,0.00_214Bi,0.3,1
356.00,0.007,2017.31_214Po,1661.28_214Po,0.077,1
386.78,0.295,1764.52_214Po,1377.68_214Po,0.16,1
388.89,0.402,2118.53_214Po,1729.61_214Po,0.25,1
394.05,0.0126,2482.47_214Po,2088.44_214Po,0,1
396.02,0.026,2604.68_214Po,2208.69_214Po,0,1
405.72,0.169,1015.04_214Po,609.32_214Po,0.0541,1
414.60,3e-04,600.66_222Rn,186.21_222Rn,0.0164,1
428.07,0.0011,2192.54_214Po,1764.52_214Po,0.12,1
449.37,0.00019,635.47_222Rn,186.21_222Rn,0.0138,1
452.92,0.03,2447.70_214Po,1994.64_214Po,0.1,1
454.79,0.292,1729.61_214Po,1274.77_214Po,0.01251,1
461.08,0.051,2204.09_214Po,1742.98_214Po,0.1581,1
462.02,0.212,839.01_214Bi,377.04_214Bi,0,1
469.77,0.132,1847.44_214Po,1377.68_214Po,0.09,1
474.44,0.099,2204.09_214Po,1729.61_214Po,0.09,1
480.43,0.337,533.68_214Bi,53.23_214Bi,0,1
485.92,0.022,2694.62_214Po,2208.69_214Po,0,1
486.70,0.006,2147.83_214Po,1661.28_214Po,0,1
487.14,0.432,839.01_214Bi,351.93_214Bi,0.01046,1
487.95,0.028,2482.47_214Po,1994.64_214Po,0.0108,1
494.20,0.0104,2698.76_214Po,2204.09_214Po,0,1
496.90,0.0068,2508.17_214Po,2010.83_214Po,0,1
501.99,0.018,2266.41_214Po,1764.52_214Po,0,1
510.00,0.076,511.00_218Po,0.00_218Po,0.0309,1
511.00,0.033,888.04_214Bi,377.04_214Bi,0,1
519.90,0.0165,2728.61_214Po,2208.69_214Po,0,1
524.60,0.0168,2728.61_214Po,2204.09_214Po,0,1
528.00,0.005,1543.37_214Po,1015.04_214Po,0.0282,1
533.66,0.181,533.68_214Bi,0.00_214Bi,0.06,1
536.78,0.065,2266.41_214Po,1729.61_214Po,0,1
538.42,0.02,797.29_214Bi,258.87_214Bi,0,1
542.83,0.077,2204.09_214Po,1661.28_214Po,0.06,1
543.83,0.044,839.01_214Bi,295.22_214Bi,0.00834,1
547.60,0.004,2208.69_214Po,1661.28_214Po,0,1
572.78,0.078,1847.44_214Po,1274.77_214Po,0.00779,1
580.14,0.37,839.01_214Bi,258.87_214Bi,0.00732,1
595.24,0.017,2010.83_214Po,1415.49_214Po,0.0215,1
600.00,0.008,2719.27_214Po,2118.53_214Po,0,1
600.66,0.00049,600.66_222Rn,0.00_222Rn,0.00766,1
609.32,45.49,609.32_214Po,0.00_214Po,0.0204,1
615.77,0.054,1890.31_214Po,1274.77_214Po,0.00674,1
617.10,0.034,1994.64_214Po,1377.68_214Po,0.00672,1
626.40,0.004,2893.58_214Po,2266.41_214Po,0,1
