 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
580.14,0.03,0.37,0.004,839.009,258.87,,,(E1),,,0.00732, ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
765.97,0.19,0.053,0.004, , ,,, ,,, , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
785.96,0.08,1.06,0.03,839.009,53.2282,,,E1,,,0.00406, ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
839.07,0.08,0.583,0.008,839.009,0,,,(E1),,,0.00359, ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
12.904, ,12, , , ,X,L, , , , , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
74.815, ,5.9, , , ,X,KA2, , , , , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
77.108, ,9.9, , , ,X,KA1, , , , , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
87.388, ,3.38, , , ,X,KpB1, , , , , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
88.458, ,4.41, , , ,X,KB, , , , , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,
89.784, ,1.03, , , ,X,KpB2, , , , , ,82,132,Pb,0, ,0+, ,27.06,7,m,1623.6,4.2,B-,100, , , , , , ,1018,11,83,131,Bi,

