 energy, unc, intensity %, unc,daughter level energy, HF, unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
4516.58,0.1,0.00104,0.00006,803.049,1.46,0.09,84,126,Po,0, ,0+, ,138.376,2,d,11955686.4,172.8,A,100, , , , , , ,5407.53,0.07,82,124,Pb,
5304.33,0.07,100, ,0.0,1, ,84,126,Po,0, ,0+, ,138.376,2,d,11955686.4,172.8,A,100, , , , , , ,5407.53,0.07,82,124,Pb,

