 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
251.633,0.009,0.067,0.0019,1292.753,1041.1217,,,E1+M2,0.24,+4-6,0.055, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
269.84,0.06,0.0078,0.0005,1292.753,1022.969,,,[E2],,,0.0784, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
271.08,0.04,0.0715,0.0019,615.415,344.2789,,,E2,,,0.0827, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
272.41,0.09,0.00064,0.00016,1082.816,810.453,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
275.42,0.04,0.0346,0.0008,1085.8408,810.453,,,M1,,,0.1015, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
285.98,0.18,0.0098,0.0016,1371.721,1085.8408,,,[E2],,,0.0653, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
286.5,0.11,0.0014,0.0003,1579.427,1292.753,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
287.1,0.12,0.00081,0.00007,1605.596,1318.456,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
295.9387,0.0017,0.44,0.004,1529.8019,1233.8626,,,E1,,,0.01523, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
315.1,0.03,0.0399,0.0011,930.546,615.415,,,(E2),,,0.0518, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
316.13,0.13,0.0101,0.0005,1022.969,706.91,,,(E2),,,0.0478, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
320.1,0.05,0.00205,0.00011,1612.88,1292.753,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
324.83,0.03,0.0681,0.0019,1434.020,1109.2,,,[M1 E2],,,0.062, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
324.914,0.026,0.00497,0.00024,1643.421,1318.456,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
328.764,0.026,0.00346,0.00021,1643.421,1314.64,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
329.41,0.05,0.1213,0.0024,1292.753,963.363,,,[E1],,,0.01163, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
330.58,0.08,0.0093,0.0011,1371.721,1041.1217,,,[E1],,,0.01154, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
340.46,0.1,0.0266,0.0008,706.91,366.4795,,,E2,,,0.0382, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
344.2785,0.0012,26.59,0.2,344.2789,0,,,E2,,,0.0397, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
345.54,0.03,0.0098,0.0005,1579.427,1233.8626,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
348.752,0.015,0.0017,0.00016,1371.721,1022.969,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
351.66,0.05,0.0106,0.0008,1282.24,930.546,,,E2,,,0.0373, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
