 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
388.89,0.05,0.402,0.01,2118.533,1729.609,,,(M1),,,0.25, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
394.05,0.08,0.0126,0.0009,2482.468,2088.44,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
396.02,0.06,0.026,0.004,2604.68,2208.69,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
405.72,0.02,0.169,0.006,1015.039,609.316,,,[E2],,,0.0541, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
422,0.8, , ,2869.6,2447.702,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
426.5,0.5,0.012,0.004, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
428.07,0.08,0.0011,0.0001,2192.537,1764.515,,,[M1 E2],,,0.12, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
439.34,0.08,0.009,0.002, , ,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
452.92,0.1,0.03,0.004,2447.702,1994.64,,,[M1 E2],,,0.1, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
454.79,0.02,0.292,0.004,1729.609,1274.766,,,[E1],,,0.01251, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
461.08,0.11,0.051,0.006,2204.089,1742.98,,,[M1],,,0.1581, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
469.77,0.04,0.132,0.005,1847.443,1377.678,,,[M1 E2],,,0.09, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
474.44,0.04,0.099,0.006,2204.089,1729.609,,,[M1 E2],,,0.09, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
485.92,0.11,0.022,0.004,2694.62,2208.69,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
486.7,0.3,0.006, ,2147.83,1661.279,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
487.95,0.13,0.028,0.009,2482.468,1994.64,,,[E1],,,0.0108, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
494.2,0.09,0.0104,0.001,2698.76,2204.089,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
496.9,0.18,0.0068,0.0018,2508.17,2010.83,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
501.99,0.14,0.018,0.002,2266.41,1764.515,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
519.9,0.05,0.0165,0.0017,2728.609,2208.69,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
524.6,0.08,0.0168,0.0017,2728.609,2204.089,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
