 mean energy, unc, intensity beta %, unc, start level energy,max energy, unc, log ft, unc, transition type, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
184.4,3.8,0.127,0.011,2662.31,608,11,7.38,0.05,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
195.4,3.9,0.036,0.008,2630.86,639,11,8,0.1, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
204.5,3.9,0.15,0.01,2604.68,665,11,7.44,0.04,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
219.5,4,0.00018,0.00009,2562.4,708,11,10.45,0.22, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
222.8,4,0.0001, ,2553.0,717,11,10.7, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
225.7,4,0.044,0.004,2544.96,725,11,8.1,0.05, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
238.9,4,0.123,0.013,2508.17,762,11,7.72,0.06, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
239.9,4,0.173,0.009,2505.37,765,11,7.58,0.04, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
248.2,4,1.244,0.024,2482.468,788,11,6.768,0.025,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
260.9,4.1,2.78,0.05,2447.702,822,11,6.484,0.024,A,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
269.8,4.1,0.074,0.01,2423.23,847,11,8.1,0.07, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
293,4.1,0.012, ,2360.57,909,11,9, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
318.2,4.2,0.557,0.007,2293.358,977,11,7.443,0.021, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
328.4,4.2,0.196,0.009,2266.41,1004,11,7.94,0.03, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
352.1,4.2,5.6,0.03,2204.089,1066,11,6.575,0.019,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
356.5,4.3,0.855,0.016,2192.537,1077,11,7.408,0.02,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
373.7,4.3,0.444,0.018,2147.83,1122,11,7.756,0.025, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
385.1,4.3,4.345,0.02,2118.533,1151,11,6.805,0.018,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
396.8,4.3,0.102,0.012,2088.44,1182,11,8.47,0.06, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
424.6,4.4,2.45,0.009,2017.309,1253,11,7.186,0.017,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
427.1,4.4,1.431,0.008,2010.830,1259,11,7.427,0.017,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
433.5,4.4,1.177,0.017,1994.640,1275,11,7.532,0.018,A,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
474.9,4.4,1.588,0.013,1890.306,1380,11,7.527,0.016,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
492,4.4,8.14,0.03,1847.443,1423,11,6.866,0.016,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
525.3,4.5,16.96,0.05,1764.515,1505,11,6.637,0.015,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
529.7,4.3,0.163,0.013,1712.97,1557,11,9.55,0.04,1U,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
534,4.5,0.125,0.011,1742.98,1527,11,8.79,0.04,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
539.4,4.5,17.57,0.04,1729.609,1540,11,6.659,0.015,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
567.2,4.5,0.61,0.05,1661.279,1609,11,8.19,0.04,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
615.4,4.6,3.12,0.03,1543.372,1727,11,7.594,0.015,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
668.1,4.6,0.89,0.03,1415.495,1855,11,8.255,0.02,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
683.7,4.6,7.35,0.05,1377.678,1892,11,7.372,0.014,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
1007.5,4.7,0.58,0.18,609.316,2661,11,9.04,0.14,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,
1268.8,4.8,19.1,0.17,0.0,3275,15,7.879,0.012,1NU,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po,

