"energy","det","value","err"
121.7817,"A1",1.13765283462136,0.0188599589667475
121.7817,"A2",1.11191496738472,0.0184385466002497
121.7817,"A3",1.03116303887664,0.0170992340919546
121.7817,"B0",1.11079173461155,0.0184193969818858
121.7817,"B1",1.07949453513382,0.0179029002708403
121.7817,"B2",1.14823095871148,0.0190434501282602
121.7817,"B3",1.20581029362364,0.0199946196183943
244.6974,"A1",1.20121490736552,0.020604976073154
244.6974,"A2",1.16725445227128,0.0200347647315867
244.6974,"A3",1.07969699550935,0.0185307843509687
244.6974,"B0",1.15983202942664,0.0199123683406797
244.6974,"B1",1.14042647407987,0.0195798040489648
244.6974,"B2",1.19107951728258,0.0204502159333947
244.6974,"B3",1.23522786384179,0.0211970698565277
344.2785,"A1",1.11744480466039,0.0185214519532272
344.2785,"A2",1.0875590697783,0.0180344476824238
344.2785,"A3",1.00133570671221,0.0166033735263057
344.2785,"B0",1.09518791299031,0.0181585583281618
344.2785,"B1",1.07067563911274,0.0177561793966846
344.2785,"B2",1.12881173607821,0.0187206453523407
344.2785,"B3",1.16788652235108,0.0193639655863735
411.1165,"A1",1.18409379578209,0.0208366352622532
411.1165,"A2",1.12901142162654,0.0199281600592012
411.1165,"A3",1.04113904047969,0.0183818878211475
411.1165,"B0",1.14664380860872,0.0202647994696482
411.1165,"B1",1.11505600471874,0.0197031048200774
411.1165,"B2",1.18969574480378,0.0210239260241672
411.1165,"B3",1.2114365588515,0.0213546846248212
443.965,"A1",1.18234738750841,0.0204508560175494
443.965,"A2",1.15623263710569,0.0200775207738606
443.965,"A3",1.07946866466032,0.0187520923548955
443.965,"B0",1.16181903490925,0.020173004684879
443.965,"B1",1.14123332514006,0.0198317227807331
443.965,"B2",1.19446010356468,0.0207397948511391
443.965,"B3",1.22033506175209,0.0211575463364985
778.9045,"A1",1.13738751591721,0.0191547008580147
778.9045,"A2",1.10120135712348,0.0185764030960967
778.9045,"A3",1.01970560708767,0.0171972539410158
778.9045,"B0",1.1233363497554,0.0189356488217002
778.9045,"B1",1.09529901953951,0.018473399195539
778.9045,"B2",1.15129357944556,0.0194237362809267
778.9045,"B3",1.18832126080967,0.0200356993323648
867.38,"A1",1.20806108708569,0.0219148263297036
867.38,"A2",1.18338407362032,0.0215954578603285
867.38,"A3",1.091636405539,0.0199014687787669
867.38,"B0",1.19130163543932,0.0216745290254142
867.38,"B1",1.17687516763411,0.0214385378788058
867.38,"B2",1.2007927562527,0.0218581788964654
867.38,"B3",1.24108971453559,0.0225597595521034
964.072,"A1",1.15582331114662,0.0191618087283861
964.072,"A2",1.1175319511321,0.0185594617043757
964.072,"A3",1.04029954989425,0.0172702590993751
964.072,"B0",1.137554493459,0.0188730015433624
964.072,"B1",1.1117977803366,0.0184610454076204
964.072,"B2",1.15979961191549,0.0192587275981959
964.072,"B3",1.20382657817323,0.0199789092503979
1085.837,"A1",1.02025485041117,0.0181334255501724
1085.837,"A2",1.05609684299186,0.0188091159354224
1085.837,"A3",0.967831472428758,0.0172247214014551
1085.837,"B0",1.06609440816458,0.0189537827970782
1085.837,"B1",1.05018118682805,0.0186965134444143
1085.837,"B2",1.11612311703584,0.0198802298416489
1085.837,"B3",1.14254815950271,0.0203326509390458
1089.737,"A1",0.731412378245669,0.0152375332257992
1089.737,"A2",1.05644672026772,0.0218029408596383
1089.737,"A3",0.993416767226452,0.022052122337905
1089.737,"B0",1.08499895206616,0.0231014605981379
1089.737,"B1",0.982746027320732,0.0200850072193019
1089.737,"B2",1.05550967910966,0.0218215465318716
1089.737,"B3",1.14319003489852,0.0238619200491594
1112.076,"A1",1.13243220613615,0.0190463530496665
1112.076,"A2",1.10154212691093,0.0185676885648592
1112.076,"A3",1.0259052167362,0.0173398493226199
1112.076,"B0",1.12952638802809,0.0190174846168606
1112.076,"B1",1.100548686435,0.0185451928894725
1112.076,"B2",1.13862263530119,0.0191883987294135
1112.076,"B3",1.16420530146425,0.0195997728085872
1212.948,"A1",1.18834061789188,0.0258115766970176
1212.948,"A2",1.19655676178253,0.0267436324682901
1212.948,"A3",1.09067560866275,0.0305052521670929
1212.948,"B0",1.17353354033361,0.0258034218474465
1212.948,"B1",1.11961450481706,0.0246031752591189
1212.948,"B2",1.22710801875269,0.0274010274079441
1212.948,"B3",1.2376095968506,0.0271962361291867
1299.142,"A1",1.11801468747101,0.022470144285543
1299.142,"A2",1.09513430691385,0.022335801767811
1299.142,"A3",1.0258892714557,0.0209019144901467
1299.142,"B0",1.13968600667192,0.0230818600392774
1299.142,"B1",1.11579879059745,0.0226869715755511
1299.142,"B2",1.17868195932602,0.0241360779736306
1299.142,"B3",1.19938045308971,0.0243549237310977
1408.013,"A1",1.15001844213359,0.0191547247635719
1408.013,"A2",1.11634971147349,0.0186275751772354
1408.013,"A3",1.02696134583966,0.0171258455726205
1408.013,"B0",1.12983060103818,0.0188295465406287
1408.013,"B1",1.11424692871269,0.0185857843737101
1408.013,"B2",1.15493689565416,0.0192682849349806
1408.013,"B3",1.17799949328949,0.0196361388378034
