,Energy,Detector,Nuclide,is_InCas,Daughter,x100mm,dx100mm,x13mm,dx13mm,z,dz,sim_z
77,1120.287,B0,226Ra,1,214Po,0.00158423160669,1.33061577346779e-05,0.007035324591796,5.90175587481814e-05,1.08696750091377,0.0204573657352521,1.08822
78,1120.287,B1,226Ra,1,214Po,0.001501319691099,1.26117063972058e-05,0.006610014747277,5.54560906636514e-05,1.08700478119358,0.0204617526268912,1.1013
79,1120.287,B2,226Ra,1,214Po,0.001488259326665,1.25030090355998e-05,0.006585591481943,5.52529840568565e-05,1.12828983747954,0.0212390784285448,1.1118
80,1120.287,B3,226Ra,1,214Po,0.001522217343584,1.27868988359838e-05,0.006952294656933,5.83225876780122e-05,1.1278049887303,0.0212267606457142,1.09941
81,1155.19,A0,226Ra,1,214Po,0.001413552041576,1.38764811949031e-05,0.006670597803622,6.45408245854315e-05,NA,NA,1.09337
82,1155.19,A1,226Ra,1,214Po,0.001561475066082,1.52482595158246e-05,0.007491442742567,7.22158024113838e-05,1.13003559096021,0.0226428452184848,1.08372
83,1155.19,A2,226Ra,1,214Po,0.001391604350053,1.36587047473908e-05,0.006677859721634,6.45969549696117e-05,1.12892964498396,0.022671006314251,1.09578
84,1155.19,A3,226Ra,1,214Po,0.00145106592826,1.4243218248545e-05,0.006881696652821,6.65562267230091e-05,1.07259468799812,0.0215386260552158,1.10623
85,1155.19,B0,226Ra,1,214Po,0.001565683065494,1.53315310653672e-05,0.007090103033602,6.85740596309597e-05,1.06594140749203,0.0213914450024697,1.09412
86,1155.19,B1,226Ra,1,214Po,0.001482740232445,1.45172397473971e-05,0.006653662638831,6.43854073609584e-05,1.06651015921589,0.0214070224556361,1.07014
87,1155.19,B2,226Ra,1,214Po,0.001465435509282,1.43966390452326e-05,0.006567522256592,6.36241451993076e-05,1.11404313864461,0.0223848637242126,1.09632
88,1155.19,B3,226Ra,1,214Po,0.001490032843352,1.46089332520111e-05,0.006973651432085,6.74500558985613e-05,1.10057874480695,0.0220934358451149,1.13733
89,1238.11,A0,226Ra,1,214Po,0.001312928804082,1.15057936573178e-05,0.006077715250446,5.30479107541288e-05,NA,NA,1.07973
90,1238.11,A1,226Ra,1,214Po,0.001457357455071,1.27559498088977e-05,0.006827470829747,5.95431763552643e-05,1.15725420210995,0.0221358244558246,1.11143
91,1238.11,A2,226Ra,1,214Po,0.001297849406801,1.13745463046597e-05,0.006098638748339,5.32292862120128e-05,1.15286853392163,0.0220665753984022,1.08179
92,1238.11,A3,226Ra,1,214Po,0.001355393349641,1.18749569831586e-05,0.006251657595319,5.45592129792542e-05,1.10284426396868,0.0211066816527598,1.08099
93,1238.11,B0,226Ra,1,214Po,0.001458038458202,1.27661012191484e-05,0.0064609440459,5.63796657028337e-05,1.0893188646469,0.0208429395746848,1.08018
94,1238.11,B1,226Ra,1,214Po,0.001382570610398,1.21094593353348e-05,0.006074942981839,5.30247657014931e-05,1.089195445444,0.0208457221685807,1.06737
95,1238.11,B2,226Ra,1,214Po,0.001370656540926,1.20094150889043e-05,0.006040574534011,5.27335965991779e-05,1.13288870303482,0.0216840350094757,1.09264
96,1238.11,B3,226Ra,1,214Po,0.001397092113581,1.22370009439195e-05,0.006379693690248,5.56738548148302e-05,1.12800423368712,0.0215852362374782,1.10998
97,1280.96,A0,226Ra,1,214Po,0.001283531621874,1.24986770254211e-05,0.006001931746652,5.73927080859667e-05,NA,NA,1.0791
98,1280.96,A1,226Ra,1,214Po,0.001434095312368,1.38702415036185e-05,0.006706541723727,6.38672007084143e-05,1.15931623620999,0.023111998493805,1.06963
99,1280.96,A2,226Ra,1,214Po,0.001265395787892,1.23306891902182e-05,0.005979761832281,5.72223226173164e-05,1.14638604123908,0.0229248703950593,1.07415
100,1280.96,A3,226Ra,1,214Po,0.001324950146698,1.29066673577936e-05,0.006173010874558,5.90443113657057e-05,1.09180861657067,0.0218289385950991,1.04722
101,1280.96,B0,226Ra,1,214Po,0.001438921430326,1.39705837599331e-05,0.006342269701432,6.06672005934606e-05,1.09515199790852,0.0218773856046286,1.07485
102,1280.96,B1,226Ra,1,214Po,0.001340161063721,1.30189451093431e-05,0.005991762112108,5.72768031223004e-05,1.07044198708188,0.0213857638541441,1.08382
103,1280.96,B2,226Ra,1,214Po,0.001334727851275,1.30203487729036e-05,0.00591870636327,5.67496440452488e-05,1.12590767336491,0.0225314425171083,1.11109
104,1280.96,B3,226Ra,1,214Po,0.001369811990959,1.33258175893174e-05,0.006206973829251,5.94060509763855e-05,1.13675419407913,0.0227220926724462,1.06921
105,1377.669,A0,226Ra,1,214Po,0.001217199278014,1.1356767810593e-05,0.005970032350107,5.5334437478113e-05,NA,NA,1.05024
106,1377.669,A1,226Ra,1,214Po,0.001356915688964,1.26355769185209e-05,0.006788063251884,6.28372583816999e-05,1.08375101252713,0.0212816299066728,1.03886
107,1377.669,A2,226Ra,1,214Po,0.001203765590278,1.12319393014712e-05,0.006005202893589,5.56585570232893e-05,1.08593200070579,0.0213444896370021,1.04738
108,1377.669,A3,226Ra,1,214Po,0.001250853345487,1.1669761142508e-05,0.006168174466456,5.71629714711623e-05,1.03155827470426,0.0202742225400766,1.02737
109,1377.669,B0,226Ra,1,214Po,0.001357815562442,1.26521946550652e-05,0.00637873968185,5.910402706422e-05,1.02751442709765,0.0201869048525326,1.04573
110,1377.669,B1,226Ra,1,214Po,0.001286975679174,1.19949657223513e-05,0.005960005365602,5.52372317907854e-05,1.03343791521572,0.0203078038952881,1.00346
111,1377.669,B2,226Ra,1,214Po,0.001267964036845,1.18288088044144e-05,0.005949971610253,5.51664584292223e-05,1.0639688002484,0.0209137514753263,1.03881
112,1377.669,B3,226Ra,1,214Po,0.001297272365711,1.20953785887627e-05,0.006287827132431,5.82693233219622e-05,1.06271323526402,0.0208820426163025,1.06063
113,1401.516,A0,226Ra,1,214Po,0.001181006695855,1.15261198657297e-05,0.005512981299086,5.26079385249576e-05,NA,NA,1.10512
114,1401.516,A1,226Ra,1,214Po,0.001312180583153,1.26974794237598e-05,0.006171178445983,5.85635984560894e-05,1.15278425241039,0.0229662025453028,1.07794
115,1401.516,A2,226Ra,1,214Po,0.001167258156582,1.13914285319938e-05,0.005525432494766,5.27483828231716e-05,1.14442946708707,0.0228813885122821,1.10624
116,1401.516,A3,226Ra,1,214Po,0.001218112333574,1.19004641457535e-05,0.005662246951081,5.40519377895955e-05,1.09431551299927,0.0218843157252853,1.07347
117,1401.516,B0,226Ra,1,214Po,0.001327024577559,1.2911449610237e-05,0.005903346222603,5.63244440925977e-05,1.08508244420888,0.0216744060379937,1.098
118,1401.516,B1,226Ra,1,214Po,0.001258958701772,1.22165467519713e-05,0.005518785337523,5.25972341117896e-05,1.09176378495567,0.0217910572996592,1.09346
119,1401.516,B2,226Ra,1,214Po,0.001286175330991,1.25510093367721e-05,0.00559073518357,5.34949897971387e-05,1.14859812921278,0.0229765696246164,1.07855
120,1401.516,B3,226Ra,1,214Po,0.001276211655474,1.24286637534982e-05,0.005834307501931,5.56685640100141e-05,1.12672753387081,0.0225116717511796,1.08079
121,1407.993,A0,226Ra,1,214Po,0.001162502269461,1.06802869037291e-05,0.00529217143867,4.80686330655174e-05,NA,NA,1.09014
122,1407.993,A1,226Ra,1,214Po,0.001302853782038,1.19172766353979e-05,0.005966361786646,5.40391067789384e-05,1.18388256933802,0.0230449944954484,1.09461
123,1407.993,A2,226Ra,1,214Po,0.001143147889518,1.05053802251228e-05,0.005299127248621,4.81372893669657e-05,1.16865537841968,0.0227916375632449,1.08928
124,1407.993,A3,226Ra,1,214Po,0.001204352719106,1.1063295251621e-05,0.005455341851527,4.9550451131567e-05,1.1229896384349,0.021897991254072,1.089
125,1407.993,B0,226Ra,1,214Po,0.001303379970282,1.19461638962526e-05,0.005645693615545,5.12614332307556e-05,1.11438629426613,0.0217161460228422,1.06628
126,1407.993,B1,226Ra,1,214Po,0.001230212014356,1.12753122515042e-05,0.005317542779452,4.82738419664072e-05,1.10720916891553,0.0215779576842217,1.11279
127,1407.993,B2,226Ra,1,214Po,0.001211909095395,1.11377337133753e-05,0.00522212064927,4.74986481687026e-05,1.1586706181049,0.0226035637590885,1.13438
128,1407.993,B3,226Ra,1,214Po,0.001238783388224,1.13696793239842e-05,0.005573658744163,5.06169409243373e-05,1.14482871492232,0.0223172330351703,1.10657
129,1509.217,A0,226Ra,1,214Po,0.001109597744395,1.22014431427205e-05,0.005213430940314,5.66984191710273e-05,NA,NA,1.08586
130,1509.217,A1,226Ra,1,214Po,0.001241191405528,1.35939587674587e-05,0.005899945367516,6.39998422459929e-05,1.14054730416203,0.0242169510224571,1.1128
131,1509.217,A2,226Ra,1,214Po,0.001090487536078,1.19957711015881e-05,0.005233633533821,5.69271354791443e-05,1.12877085739036,0.0240164050208375,1.07842
132,1509.217,A3,226Ra,1,214Po,0.001153476880221,1.26810853225153e-05,0.005396835340729,5.86965906470174e-05,1.08721077585335,0.0231274257139978,1.0724
133,1509.217,B0,226Ra,1,214Po,0.001241004510944,1.36220432445044e-05,0.005577535808775,6.06380122586789e-05,1.07402160616893,0.0228335350578763,1.09926
134,1509.217,B1,226Ra,1,214Po,0.001175385725653,1.28938380830534e-05,0.005230808404133,5.68496480879683e-05,1.07540561893347,0.022859508554733,1.0887
135,1509.217,B2,226Ra,1,214Po,0.001166750226902,1.28335862262422e-05,0.005223410687712,5.68643330125478e-05,1.11522005637094,0.0237329668576124,1.07937
136,1509.217,B3,226Ra,1,214Po,0.00118625719817,1.3032811729492e-05,0.005527065039531,6.00907330636158e-05,1.10552813978744,0.0235092858399198,1.05688
137,1661.316,A0,226Ra,1,214Po,0.001033684014552,1.1423727993878e-05,0.004910996478196,5.30101814664503e-05,NA,NA,1.06613
138,1661.316,A1,226Ra,1,214Po,0.001146960349352,1.2579405155985e-05,0.005616661137272,6.02754252033225e-05,1.10711494755216,0.0234504853205475,1.07278
139,1661.316,A2,226Ra,1,214Po,0.001019451079471,1.12663204880885e-05,0.004948127136107,5.34033726740705e-05,1.11612781664411,0.0237288420729005,1.05048
140,1661.316,A3,226Ra,1,214Po,0.00108041500522,1.1932468291527e-05,0.005135038060066,5.54028497506654e-05,1.07026411025663,0.0227475658389874,1.08058
141,1661.316,B0,226Ra,1,214Po,0.001169005929667,1.28719545867922e-05,0.005351789748541,5.77101790082269e-05,1.05438615843051,0.0223873089524368,1.05484
142,1661.316,B1,226Ra,1,214Po,0.00109433667067,1.20440779201115e-05,0.004939316716687,5.32552409087308e-05,1.06033910836275,0.0225123153754671,1.08746
143,1661.316,B2,226Ra,1,214Po,0.001078310846465,1.19395229648546e-05,0.004892960459618,5.29626897769569e-05,1.10029494592154,0.0234221039019449,1.06135
144,1661.316,B3,226Ra,1,214Po,0.00110983360486,1.22588441068671e-05,0.005222267089736,5.6354251723443e-05,1.09467274913858,0.0232668594800367,1.12468
145,1729.64,A0,226Ra,1,214Po,0.001002722292406,9.27987679250273e-06,0.005257880584404,4.80872869794013e-05,NA,NA,1.02978
146,1729.64,A1,226Ra,1,214Po,0.001129101567946,1.04150110654106e-05,0.00607898756522,5.54820143267143e-05,1.00698798389709,0.0196708641516115,1.03511
147,1729.64,A2,226Ra,1,214Po,0.000994364959005,9.20216635137296e-06,0.005316383898405,4.86132926240356e-05,1.0132529322219,0.0198201334892318,1.03979
148,1729.64,A3,226Ra,1,214Po,0.001044571033306,9.6587718760531e-06,0.00545676800141,4.98880729255944e-05,0.973747847036815,0.0190426786488561,1.04721
149,1729.64,B0,226Ra,1,214Po,0.00112968634282,1.04303787397134e-05,0.005683733816951,5.19417900004547e-05,0.959414268512942,0.0187530890910866,1.03975
150,1729.64,B1,226Ra,1,214Po,0.001066503581462,9.85442991259009e-06,0.005295863086184,4.84266331439854e-05,0.963798556264296,0.0188466747973238,0.998481
151,1729.64,B2,226Ra,1,214Po,0.001052792903069,9.73861812182537e-06,0.005241615287719,4.79587525699182e-05,1.00280076562261,0.0196165036008161,1.02004
152,1729.64,B3,226Ra,1,214Po,0.001071707712794,9.90919397168399e-06,0.00560728823846,5.12544619991227e-05,0.984484744781655,0.0192503274765049,1.05001
153,1764.539,A0,226Ra,1,214Po,0.000971481321161,8.57882109145559e-06,0.004726024850119,4.16499854004739e-05,NA,NA,1.0326
154,1764.539,A1,226Ra,1,214Po,0.001096071206819,9.673473695607e-06,0.005393266756051,4.751374230113e-05,1.10181682683642,0.0211569118996778,1.04921
155,1764.539,A2,226Ra,1,214Po,0.000961051247697,8.48705522475047e-06,0.004752773469986,4.188509013151e-05,1.09543805335691,0.0210433680093304,1.06469
156,1764.539,A3,226Ra,1,214Po,0.001006855918196,8.8897910641956e-06,0.004878774789455,4.29934276341713e-05,1.04978551986392,0.0201648666479171,1.02553
157,1764.539,B0,226Ra,1,214Po,0.001095244497755,9.66675755925281e-06,0.005082224361645,4.47821175827e-05,1.04025370600616,0.0199783248400232,1.01728
158,1764.539,B1,226Ra,1,214Po,0.001033960623462,9.12793129507444e-06,0.004752695478872,4.18847064682093e-05,1.04117735343578,0.0200000850522829,1.0303
159,1764.539,B2,226Ra,1,214Po,0.001014908892062,8.96079910044906e-06,0.00470440419109,4.14615706192738e-05,1.07710807048753,0.0206907712569395,1.01026
160,1764.539,B3,226Ra,1,214Po,0.001044418088509,9.22014195536079e-06,0.005008827275682,4.41373000542434e-05,1.07404838150516,0.0206286420855343,1.01409
161,1847.42,A0,226Ra,1,214Po,0.000938480809655,9.49499575166946e-06,0.004776150791184,4.76120628979855e-05,NA,NA,1.0228
162,1847.42,A1,226Ra,1,214Po,0.001058330528153,1.06624355807931e-05,0.005497417927403,5.46565320154091e-05,1.04372263544551,0.0212252063260054,1.02298
163,1847.42,A2,226Ra,1,214Po,0.000931564409486,9.42489852644535e-06,0.004818737819371,4.80308171247683e-05,1.04729247237027,0.0213371074762082,1.04623
164,1847.42,A3,226Ra,1,214Po,0.000973670073323,9.84452199421239e-06,0.004958992138547,4.94191413820702e-05,0.9987629509419,0.0203437736363346,1.05206
165,1847.42,B0,226Ra,1,214Po,0.001060102149979,1.06966485398902e-05,0.005176399163958,5.15562302125663e-05,0.9885576065586,0.0201216825250658,1.06168
166,1847.42,B1,226Ra,1,214Po,0.000998730826571,1.00840649337544e-05,0.004820112905827,4.80374568997551e-05,0.991635225492024,0.0201927946048102,1.01561
167,1847.42,B2,226Ra,1,214Po,0.000983985788378,9.95371100908176e-06,0.004756189700525,4.74517912806481e-05,1.03291957642833,0.0210483276973976,1.0269
168,1847.42,B3,226Ra,1,214Po,0.001011274564752,1.02183815663292e-05,0.005074365742993,5.05614135025326e-05,1.0265328069755,0.0209041689259485,1.04267
169,2118.536,A0,226Ra,1,214Po,0.000809515798577,8.8500206618495e-06,0.004081594953671,4.35315177768942e-05,NA,NA,1.04775
170,2118.536,A1,226Ra,1,214Po,0.000921984637503,1.00000974232071e-05,0.004698337662879,4.9884092795414e-05,1.06390289785377,0.0224071518344661,1.05844
171,2118.536,A2,226Ra,1,214Po,0.000802601783626,8.77089145561119e-06,0.004099680358498,4.37169104334132e-05,1.06056798960214,0.022410517238841,1.03911
172,2118.536,A3,226Ra,1,214Po,0.000843748926271,9.20651214152405e-06,0.00421449306758,4.49260190974044e-05,1.01838480627449,0.0215081371126437,1.05407
173,2118.536,B0,226Ra,1,214Po,0.000919092490676,9.99702349647079e-06,0.004429557163853,4.71597650744413e-05,1.001569134546,0.0211271464269528,1.03177
174,2118.536,B1,226Ra,1,214Po,0.000871560815054,9.48987633702857e-06,0.004119841613842,4.39187718525333e-05,1.01246000946724,0.0213719413551513,1.03006
