,Energy,Detector,Nuclide,is_InCas,Daughter,x100mm,dx100mm,x13mm,dx13mm,z,dz,sim_z
1,121.7817,A0,152Eu,1,152Sm,0.008610212722815,4.73972256116552e-05,0.041158552456779,0.000230472339451,NA,NA,1.26138
2,121.7817,A1,152Eu,1,152Sm,0.008785327155679,4.83586932473274e-05,0.041866891632238,0.00023431486453,1.13765283462136,0.0188599589667475,1.2519
3,121.7817,A2,152Eu,1,152Sm,0.008644459804818,4.75846400449115e-05,0.04211673291176,0.00023567372261,1.11191496738472,0.0184385466002497,1.24614
4,121.7817,A3,152Eu,1,152Sm,0.008717121766262,4.79846832043006e-05,0.043002113061167,0.000240664851514,1.03116303887664,0.0170992340919546,1.23925
5,121.7817,B0,152Eu,1,152Sm,0.008743767974809,4.81300682455807e-05,0.037996886395663,0.000212825018225,1.11079173461155,0.0184193969818858,1.25603
6,121.7817,B1,152Eu,1,152Sm,0.008587428254388,4.72703605931313e-05,0.038071796949978,0.000213194487428,1.07949453513382,0.0179029002708403,1.24143
7,121.7817,B2,152Eu,1,152Sm,0.008529616650343,4.69526472135024e-05,0.037088315726131,0.000207774897101,1.14823095871148,0.0190434501282602,1.25331
8,121.7817,B3,152Eu,1,152Sm,0.008918804200187,4.90910925134508e-05,0.038098963320798,0.000213351128662,1.20581029362364,0.0199946196183943,1.25182
9,244.6974,A0,152Eu,1,152Sm,0.005466016010049,3.36989620526906e-05,0.025193424770967,0.000166059192673,NA,NA,1.14409
10,244.6974,A1,152Eu,1,152Sm,0.005768689257945,3.55416419941975e-05,0.026036281893584,0.000170879279756,1.20121490736552,0.020604976073154,1.164
11,244.6974,A2,152Eu,1,152Sm,0.005491460172907,3.38527223801596e-05,0.025486528859777,0.000167569181946,1.16725445227128,0.0200347647315867,1.1292
12,244.6974,A3,152Eu,1,152Sm,0.005576140192419,3.43725478946164e-05,0.026270952130247,0.000172697612313,1.07969699550935,0.0185307843509687,1.14712
13,244.6974,B0,152Eu,1,152Sm,0.005739289759867,3.53657987659688e-05,0.023886090803773,0.000157507446162,1.15983202942664,0.0199123683406797,1.14759
14,244.6974,B1,152Eu,1,152Sm,0.005590927965655,3.44547446573396e-05,0.023462663293329,0.000154574978649,1.14042647407987,0.0195798040489648,1.12976
15,244.6974,B2,152Eu,1,152Sm,0.005569805935452,3.43272051939216e-05,0.023347272808567,0.000153861131518,1.19107951728258,0.0204502159333947,1.14486
16,244.6974,B3,152Eu,1,152Sm,0.005774320330319,3.55726105817171e-05,0.024079047797503,0.000158311121506,1.23522786384179,0.0211970698565277,1.14564
17,344.2785,A0,152Eu,1,152Gd,0.0040684248072,2.22373819316292e-05,0.019952846528178,0.000112505398833,NA,NA,1.06168
18,344.2785,A1,152Eu,1,152Gd,0.004336542785537,2.3696139401936e-05,0.021039726388545,0.000118384066052,1.11744480466039,0.0185214519532272,1.03957
19,344.2785,A2,152Eu,1,152Gd,0.004057501615157,2.21773872181082e-05,0.020211299535616,0.000113852695647,1.0875590697783,0.0180344476824238,1.01666
20,344.2785,A3,152Eu,1,152Gd,0.00412987906899,2.25719562069622e-05,0.02097981497544,0.000118139884359,1.00133570671221,0.0166033735263057,1.03219
21,344.2785,B0,152Eu,1,152Gd,0.004351904246628,2.37794898238442e-05,0.019181064881332,0.000108082623033,1.09518791299031,0.0181585583281618,1.04218
22,344.2785,B1,152Eu,1,152Gd,0.004196855434045,2.29349937546628e-05,0.01875973893153,0.000105755596886,1.07067563911274,0.0177561793966846,1.03276
23,344.2785,B2,152Eu,1,152Gd,0.004191978184668,2.29084847377317e-05,0.018541050996509,0.000104554852796,1.12881173607821,0.0187206453523407,1.03061
24,344.2785,B3,152Eu,1,152Gd,0.004323848973764,2.36262410107718e-05,0.019070206047752,0.000107450334055,1.16788652235108,0.0193639655863735,1.05466
25,411.1165,A0,152Eu,1,152Gd,0.003424835894107,1.98344039448186e-05,0.015972722137303,0.000130734476182,NA,NA,1.114
26,411.1165,A1,152Eu,1,152Gd,0.003659921717666,2.10530945950506e-05,0.016757461240553,0.000133390297375,1.18409379578209,0.0208366352622532,1.09039
27,411.1165,A2,152Eu,1,152Gd,0.003390063850156,1.96155702726516e-05,0.016266642953247,0.000130847481777,1.12901142162654,0.0199281600592012,1.08695
28,411.1165,A3,152Eu,1,152Gd,0.003469704237679,2.00720325516416e-05,0.016952265539303,0.000136565762121,1.04113904047969,0.0183818878211475,1.08722
29,411.1165,B0,152Eu,1,152Gd,0.00369599263384,2.12793287706677e-05,0.015559104292504,0.000126301347366,1.14664380860872,0.0202647994696482,1.09278
