"energy","det","value","err"
186.211,"A1",1.10395585216034,0.0212130529442829
186.211,"A2",1.08666367785743,0.0208867961877504
186.211,"A3",1.03964694191766,0.019984213837942
186.211,"B0",1.02586722088085,0.0197163641030711
186.211,"B1",1.00509351097659,0.0193188208922971
186.211,"B2",1.06032733296838,0.0203827545521328
186.211,"B3",1.06138394123279,0.020396761575282
241.997,"A1",1.10558473471515,0.0216166247852418
241.997,"A2",1.10012370477667,0.0215153834276085
241.997,"A3",1.05226885763535,0.0205790631486557
241.997,"B0",1.02766610078973,0.020096187670508
241.997,"B1",1.03042453246947,0.0201524959126605
241.997,"B2",1.0689729049464,0.0209066206142095
241.997,"B3",1.07468775440486,0.0210152154798297
295.224,"A1",1.1027809626347,0.0209248663426511
295.224,"A2",1.09817270768439,0.0208425980472714
295.224,"A3",1.05334576730255,0.0199913465522092
295.224,"B0",1.02535409443554,0.0194583802201453
295.224,"B1",1.03031754029764,0.0195551336935838
295.224,"B2",1.06763538713746,0.020263196190704
295.224,"B3",1.06934612164177,0.0202932698794351
351.932,"A1",1.09540370544612,0.0207660756143736
351.932,"A2",1.09891908421661,0.0208377623353682
351.932,"A3",1.05089958534517,0.0199267104242587
351.932,"B0",1.02815794268328,0.019493844275864
351.932,"B1",1.03315263813616,0.0195911008360994
351.932,"B2",1.07092659911745,0.0203071177206863
351.932,"B3",1.07057234578418,0.020298162039053
609.316,"A1",1.15330703330566,0.0215601270935829
609.316,"A2",1.15155270270375,0.0215328706957935
609.316,"A3",1.10022193173728,0.0205724483187604
609.316,"B0",1.08129859138188,0.0202167734356836
609.316,"B1",1.08753522856474,0.0203361909468065
609.316,"B2",1.12386200675546,0.0210151808880221
609.316,"B3",1.12468791010642,0.0210282362668179
665.453,"A1",1.20450661413525,0.0226762052060145
665.453,"A2",1.20498478011915,0.022717792551048
665.453,"A3",1.14557515167378,0.0215987872810864
665.453,"B0",1.13615657748026,0.0214176108729364
665.453,"B1",1.14714009091093,0.0216251469926973
665.453,"B2",1.18417414252899,0.0223361789585667
665.453,"B3",1.18681436671388,0.0223676387020741
768.367,"A1",1.15892942427046,0.0222094740962261
768.367,"A2",1.15245940062333,0.0220974850537392
768.367,"A3",1.1029868137996,0.0211474054290885
768.367,"B0",1.08888050728219,0.0208730099932136
768.367,"B1",1.09390389861554,0.0209738644268308
768.367,"B2",1.12712632618267,0.0216119983508837
768.367,"B3",1.13459662631302,0.0217502616574955
806.185,"A1",1.22032872250002,0.0246552809905432
806.185,"A2",1.19518390172386,0.0242085285778433
806.185,"A3",1.1607773009848,0.0235109356573276
806.185,"B0",1.1217398852856,0.0227112399361185
806.185,"B1",1.13541000244737,0.0229798319066994
806.185,"B2",1.19647765119199,0.0242392508653431
806.185,"B3",1.17543396970262,0.0237880665935293
934.061,"A1",1.17159720922661,0.0228067094144424
934.061,"A2",1.16469173693298,0.0226937581261152
934.061,"A3",1.11660825971938,0.0217555822315089
934.061,"B0",1.1027066468775,0.0214780072608689
934.061,"B1",1.1050217006829,0.0215286624815765
934.061,"B2",1.14963873184256,0.0224021762479556
934.061,"B3",1.14240325104275,0.0222521387879926
1120.287,"A1",1.15533665815206,0.0217402300127632
1120.287,"A2",1.15149191404112,0.021675994338616
1120.287,"A3",1.09944178004919,0.0206950318005227
1120.287,"B0",1.08696750091377,0.0204573657352521
1120.287,"B1",1.08700478119358,0.0204617526268912
1120.287,"B2",1.12828983747954,0.0212390784285448
1120.287,"B3",1.1278049887303,0.0212267606457142
1155.19,"A1",1.13003559096021,0.0226428452184848
1155.19,"A2",1.12892964498396,0.022671006314251
