Energy,Efficiency
186,0.030223
186,0.033084
242,0.027657
242,0.026194
295,0.023464
295,0.021707
352,0.018492
352,0.019976
609,0.011025
609,0.012037
665,0.009647
665,0.011132
768,0.009049
768,0.009857
806,0.008716
806,0.009615
934,0.008543
934,0.007775
1120,0.006779
1120,0.007418
1155,0.006533
1155,0.007143
1238,0.006825
1238,0.006321
1281,0.005967
1281,0.006439
1378,0.005971
1378,0.006271
1402,0.006192
1402,0.005603
1408,0.005962
1408,0.005469
1509,0.005704
1509,0.005253
1661,0.005207
1661,0.004884
1730,0.004969
1730,0.005117
1764,0.004816
1764,0.004973
1847,0.004801
1847,0.004694
2119,0.004235
2119,0.004042
2204,0.004079
2204,0.003958
2448,0.003618
2448,0.003606
