Energy,Efficiency
186,0.029573
186,0.03249
242,0.026976
242,0.025382
295,0.022449
295,0.021275
352,0.018171
352,0.019285
609,0.010888
609,0.011885
665,0.009456
665,0.010871
768,0.008939
768,0.009867
806,0.008471
806,0.009415
934,0.008289
934,0.007684
1120,0.006751
1120,0.007181
1155,0.006369
1155,0.006979
1238,0.006587
1238,0.006089
1281,0.005988
1281,0.006432
1378,0.005804
1378,0.006079
1402,0.006112
1402,0.005525
1408,0.005881
1408,0.005399
1509,0.005597
1509,0.00519
1661,0.00514
1661,0.004893
1730,0.00475
1730,0.004939
1764,0.004699
1764,0.005003
1847,0.004685
1847,0.004478
2119,0.004145
2119,0.003989
2204,0.003903
2204,0.0038
2448,0.003631
2448,0.003457
