Energy,Efficiency
186,0.031698
186,0.034951
242,0.029559
242,0.027587
295,0.025055
295,0.023509
352,0.019838
352,0.021292
609,0.012177
609,0.013221
665,0.010549
665,0.012303
768,0.009762
768,0.010926
806,0.009281
806,0.010689
934,0.009462
934,0.008481
1120,0.007493
1120,0.008154
1155,0.007161
1155,0.007835
1238,0.00745
1238,0.006897
1281,0.006787
1281,0.007295
1378,0.006626
1378,0.006929
1402,0.006846
1402,0.006235
1408,0.006725
1408,0.006307
1509,0.006523
1509,0.005934
1661,0.005924
1661,0.005616
1730,0.005434
1730,0.00565
1764,0.005497
1764,0.005592
1847,0.00537
1847,0.005058
2119,0.004709
2119,0.004564
2204,0.004565
2204,0.004478
2448,0.004204
2448,0.003946
