Energy,Efficiency
186,0.030979
186,0.034566
242,0.02871
242,0.027299
295,0.024274
295,0.02258
352,0.019194
352,0.020463
609,0.011614
609,0.012576
665,0.010221
665,0.011725
768,0.009358
768,0.010489
806,0.009088
806,0.010044
934,0.009065
934,0.008325
1120,0.007084
1120,0.007876
1155,0.006904
1155,0.007569
1238,0.007136
1238,0.006531
1281,0.006274
1281,0.006971
1378,0.006287
1378,0.006531
1402,0.006385
1402,0.00592
1408,0.006652
1408,0.005864
1509,0.006147
1509,0.005695
1661,0.005588
1661,0.005265
1730,0.005339
1730,0.005446
1764,0.005363
1764,0.005418
1847,0.005115
1847,0.004981
2119,0.004477
2119,0.004436
2204,0.004413
2204,0.004154
2448,0.003878
2448,0.003863
