Energy,Efficiency
186,0.030651
186,0.032925
242,0.027924
242,0.026547
295,0.023391
295,0.022024
352,0.019108
352,0.020212
609,0.011461
609,0.012458
665,0.009894
665,0.011825
768,0.009401
768,0.010186
806,0.008877
806,0.009867
934,0.008853
934,0.008125
1120,0.006979
1120,0.007686
1155,0.006958
1155,0.007446
1238,0.007082
1238,0.006635
1281,0.006335
1281,0.006866
1378,0.006358
1378,0.00638
1402,0.006353
1402,0.00581
1408,0.006334
1408,0.005692
1509,0.006051
1509,0.005558
1661,0.005595
1661,0.005145
1730,0.005267
1730,0.005259
1764,0.005082
1764,0.005236
1847,0.00501
1847,0.004933
2119,0.004455
2119,0.004325
2204,0.004283
2204,0.004127
2448,0.003817
2448,0.003656
