Energy,Efficiency
186,0.029261
186,0.032311
242,0.02699
242,0.025315
295,0.022601
295,0.021567
352,0.018293
352,0.019262
609,0.011031
609,0.011939
665,0.009729
665,0.011256
768,0.009106
768,0.009857
806,0.008793
806,0.009446
934,0.00862
934,0.007925
1120,0.006682
1120,0.007213
1155,0.006599
1155,0.0073
1238,0.00662
1238,0.006124
1281,0.006141
1281,0.006431
1378,0.006066
1378,0.006232
1402,0.006137
1402,0.005717
1408,0.006106
1408,0.005607
1509,0.005732
1509,0.005345
1661,0.005364
1661,0.004964
1730,0.004851
1730,0.00508
1764,0.004897
1764,0.005022
1847,0.00481
1847,0.004572
2119,0.004347
2119,0.004124
2204,0.004051
2204,0.004017
2448,0.003749
2448,0.003644
