Energy,Efficiency,Error
186.216506742999997,0.006814669317480,0.000054375419289
241.966370632000007,0.005588739445742,0.000046762430841
295.534249860999978,0.004720833957513,0.000036202391281
352.132606916999976,0.004022582071208,0.000030756341940
609.521780386000046,0.002391332787744,0.000017493162160
768.457665547000033,0.001957797698222,0.000015528841392
806.417665661000001,0.001878726249440,0.000017498721157
934.109462557000029,0.001673717742631,0.000013959247763
1120.523336839999956,0.001438465137701,0.000010765571095
1155.392935730000090,0.001424875535785,0.000013000881165
1238.288705810000010,0.001321291592813,0.000010436547981
1281.338832740000043,0.001290564206565,0.000011693033031
1378.231319590000112,0.001228169625161,0.000010481432234
1402.037599960000080,0.001193572473082,0.000010855928810
1408.505405180000025,0.001176424775565,0.000009890014457
1509.802562950000038,0.001120672082990,0.000011625557380
1730.179110999999921,0.001010032752762,0.000008549542399
1765.124551039999915,0.000982615361613,0.000007824928637
1848.101043789999949,0.000957620636648,0.000009014713576
2119.241191030000209,0.000827428301077,0.000008534802710
2204.757877500000177,0.000789661594494,0.000016211116498
2448.507117229999949,0.000712655352646,0.000007359115961
