Energy,Efficiency,Error
186.159957619000011,0.007032031091447,0.000056085606018
242.163920620999988,0.005737775293787,0.000048004664858
295.312211164000018,0.004829277075611,0.000037032381980
351.983095229000014,0.004121794037619,0.000031514212724
609.332916053999952,0.002468668897959,0.000018058280284
768.478510432999997,0.002104272089874,0.000016685292045
806.240714585999967,0.001956485797943,0.000018190253642
934.070201698999995,0.001770322211108,0.000014749181458
1120.371348039999930,0.001532167394640,0.000011463671577
1155.263020699999970,0.001509116032798,0.000013749853499
1238.217323269999952,0.001403014605154,0.000011076983815
1281.177830059999906,0.001377098151959,0.000012477464346
1377.902722349999976,0.001313640161296,0.000011202860279
1401.746244070000103,0.001286657941416,0.000011723161413
1408.211000109999986,0.001248648635485,0.000010495947196
1509.478898529999924,0.001203031737226,0.000012475110192
1729.895102929999894,0.001087879077024,0.000009196133909
1764.835364849999905,0.001057653309549,0.000008419240578
1847.798635260000083,0.001010522729653,0.000009517657941
2118.940781410000000,0.000892012902579,0.000009194237008
2204.502384819999861,0.000853572235247,0.000017519233564
2448.422088379999877,0.000775192197169,0.000007974606814
