Energy,Efficiency,Error
186.130479885999989,0.007336533912480,0.000058516321670
241.938693747000002,0.005949037064815,0.000049771126089
295.170386597999993,0.005031027769279,0.000038578162159
351.813431739000009,0.004306070706820,0.000032922271922
609.213996084999962,0.002609306418218,0.000019086006176
768.241500460999987,0.002160133978299,0.000017117088750
806.158801861000029,0.002056029349552,0.000019073443845
933.897736030000033,0.001840899756606,0.000015325909734
1120.267139660000112,0.001598161528127,0.000011954413173
1155.154661510000096,0.001585283896756,0.000014401216445
1238.023986109999896,0.001474616963715,0.000011631899254
1280.968278390000023,0.001437677575603,0.000012982066626
1377.700472309999896,0.001371601133314,0.000011683327590
1401.530148560000043,0.001314696039162,0.000011969195833
1408.003430640000033,0.001316269976038,0.000011026290694
1509.300626180000108,0.001261159737949,0.000013047496108
1729.696715490000088,0.001151885691346,0.000009712933666
1764.631865509999898,0.001106995865635,0.000008809171505
1847.628570220000029,0.001074641743378,0.000010084013613
2118.771682149999833,0.000939137519902,0.000009632539230
2204.301970349999920,0.000894066791748,0.000018346734577
2447.748043829999915,0.000810909406814,0.000008321815068
