Nuclide,Energy,is_InCas,Daughter,Detector,x100mm,dx100mm,x13mm,dx13mm,z,dz
152Eu,443.965,1,152Sm,B1,0.003286138937528,1.86562302087442e-05,0.013780728556953,0.000103453338159,1.14123332514006,0.0198317227807331
152Eu,443.965,1,152Sm,B2,0.003300605478357,1.87344594498067e-05,0.013796178932752,0.000103139126353,1.19446010356468,0.0207397948511391
152Eu,443.965,1,152Sm,B3,0.003373138661446,1.91250248041117e-05,0.014237725675791,0.000105722409827,1.22033506175209,0.0211575463364985
226Ra,609.316,1,214Po,A0,0.002392949594867,1.97559156640368e-05,0.011099371099379,9.16087214560495e-05,NA,NA
226Ra,609.316,1,214Po,A1,0.002597359533126,2.14421470240411e-05,0.012209831264956,0.000100769661898,1.15330703330566,0.0215601270935829
226Ra,609.316,1,214Po,A2,0.002377788835469,1.96307871338913e-05,0.011186078333293,9.23239387869583e-05,1.15155270270375,0.0215328706957935
226Ra,609.316,1,214Po,A3,0.002450427432247,2.02301027619994e-05,0.011329365024781,9.35062351015135e-05,1.10022193173728,0.0205724483187604
226Ra,609.316,1,214Po,B0,0.002592586726434,2.14028942435743e-05,0.011573632319654,9.55217512570492e-05,1.08129859138188,0.0202167734356836
226Ra,609.316,1,214Po,B1,0.002478383010959,2.04606778942549e-05,0.010906509736085,9.00176967750861e-05,1.08753522856474,0.0203361909468065
226Ra,609.316,1,214Po,B2,0.00247752270143,2.04536481719824e-05,0.011006303984517,9.08412067166729e-05,1.12386200675546,0.0210151808880221
226Ra,609.316,1,214Po,B3,0.002529420107334,2.08817344247197e-05,0.011584424296156,9.56107294005149e-05,1.12468791010642,0.0210282362668179
226Ra,665.453,1,214Po,A0,0.00219626534315,1.86217400904028e-05,0.009815416752226,8.2305394508316e-05,NA,NA
226Ra,665.453,1,214Po,A1,0.002383328959212,2.01239500462377e-05,0.010727470618103,8.97023316511335e-05,1.20450661413525,0.0226762052060145
226Ra,665.453,1,214Po,A2,0.002178392391587,1.84605248231078e-05,0.009793613068303,8.20881552511889e-05,1.20498478011915,0.022717792551048
226Ra,665.453,1,214Po,A3,0.002245943820733,1.90343499058228e-05,0.009972850891313,8.36151086445488e-05,1.14557515167378,0.0215987872810864
226Ra,665.453,1,214Po,B0,0.002379248434664,2.01416773830414e-05,0.010108428195915,8.48107295696968e-05,1.13615657748026,0.0214176108729364
226Ra,665.453,1,214Po,B1,0.002279207541002,1.92845898680965e-05,0.009508852639716,7.97812436828362e-05,1.14714009091093,0.0216251469926973
226Ra,665.453,1,214Po,B2,0.002264509127165,1.92073101997082e-05,0.009547624987312,8.01454407142121e-05,1.18417414252899,0.0223361789585667
226Ra,665.453,1,214Po,B3,0.002324078469556,1.96695297861012e-05,0.010086802289005,8.45543403775477e-05,1.18681436671388,0.0223676387020741
226Ra,768.367,1,214Po,A0,0.001963400022387,1.72723420886509e-05,0.009093541549919,7.97380129111391e-05,NA,NA
226Ra,768.367,1,214Po,A1,0.00214967392633,1.8893837144776e-05,0.010056297951294,8.81258712239321e-05,1.15892942427046,0.0222094740962261
226Ra,768.367,1,214Po,A2,0.001944983269165,1.71108815426166e-05,0.00914278751794,8.01662985571451e-05,1.15245940062333,0.0220974850537392
226Ra,768.367,1,214Po,A3,0.002018462695936,1.77540101900703e-05,0.009308815631802,8.1619014010279e-05,1.1029868137996,0.0211474054290885
226Ra,768.367,1,214Po,B0,0.002152865386936,1.89270236613321e-05,0.009543741713945,8.36753991900678e-05,1.08888050728219,0.0208730099932136
226Ra,768.367,1,214Po,B1,0.002039654940094,1.79362014718003e-05,0.008923561753613,7.82539156429297e-05,1.09390389861554,0.0209738644268308
226Ra,768.367,1,214Po,B2,0.002038726559459,1.79330385321492e-05,0.009030737894741,7.91968748135403e-05,1.12712632618267,0.0216119983508837
226Ra,768.367,1,214Po,B3,0.002079441884597,1.82850208202297e-05,0.009440409111943,8.27670096089642e-05,1.13459662631302,0.0217502616574955
152Eu,778.9045,1,152Gd,A0,0.001920920760377,1.08278346630265e-05,0.00929486044484,5.85687569315668e-05,NA,NA
152Eu,778.9045,1,152Gd,A1,0.00211732291208,1.19122537209175e-05,0.010092556116955,6.28325110445565e-05,1.13738751591721,0.0191547008580147
152Eu,778.9045,1,152Gd,A2,0.00191641931205,1.08009460277104e-05,0.009427839758344,5.92030420872118e-05,1.10120135712348,0.0185764030960967
152Eu,778.9045,1,152Gd,A3,0.001970442266691,1.1102906541113e-05,0.009829534,6.16366e-05,1.01970560708767,0.0171972539410158
152Eu,778.9045,1,152Gd,B0,0.002152929267124,1.21097631797499e-05,0.009251283174569,5.79289711990337e-05,1.1233363497554,0.0189356488217002
152Eu,778.9045,1,152Gd,B1,0.002044313955193,1.15061212033407e-05,0.008932552889965,5.60678964813911e-05,1.09529901953951,0.018473399195539
152Eu,778.9045,1,152Gd,B2,0.002032831241344,1.14444168725187e-05,0.008815604428766,5.54514514735442e-05,1.15129357944556,0.0194237362809267
152Eu,778.9045,1,152Gd,B3,0.002089206437538,1.1756652669004e-05,0.009055928895422,5.67758413055384e-05,1.18832126080967,0.0200356993323648
226Ra,806.185,1,214Po,A0,0.001838767235833,1.83616821302748e-05,0.008162242286902,8.04743788616179e-05,NA,NA
226Ra,806.185,1,214Po,A1,0.002026873889803,2.01190464938301e-05,0.009004765918442,8.84388202036844e-05,1.22032872250002,0.0246552809905432
226Ra,806.185,1,214Po,A2,0.001802690877941,1.80033520576146e-05,0.008170994494568,8.05397817488408e-05,1.19518390172386,0.0242085285778433
226Ra,806.185,1,214Po,A3,0.00189931347408,1.89668472059308e-05,0.00832322747714,8.20439083836824e-05,1.1607773009848,0.0235109356573276
226Ra,806.185,1,214Po,B0,0.00199300873489,1.9872688731612e-05,0.008576282245017,8.4551625095106e-05,1.1217398852856,0.0227112399361185
226Ra,806.185,1,214Po,B1,0.001913355831557,1.90505053772804e-05,0.00806498809217,7.94739026761654e-05,1.13541000244737,0.0229798319066994
226Ra,806.185,1,214Po,B2,0.001939730959677,1.93630647387666e-05,0.008094196757746,7.98809922506171e-05,1.19647765119199,0.0242392508653431
226Ra,806.185,1,214Po,B3,0.001941998379814,1.9349064912016e-05,0.00851012896552,8.38104748894253e-05,1.17543396970262,0.0237880665935293
152Eu,867.38,1,152Sm,A0,0.001744771355986,1.1441433019193e-05,0.008003560299481,7.03442117521317e-05,NA,NA
152Eu,867.38,1,152Sm,A1,0.001910025538887,1.24525132819187e-05,0.008571815437752,7.34211554693236e-05,1.20806108708569,0.0219148263297036
152Eu,867.38,1,152Sm,A2,0.001736197604387,1.13767810089709e-05,0.007948072577482,6.96134737142785e-05,1.18338407362032,0.0215954578603285
152Eu,867.38,1,152Sm,A3,0.001792405973143,1.17403775587402e-05,0.008352229008362,7.28634552427907e-05,1.091636405539,0.0199014687787669
152Eu,867.38,1,152Sm,B0,0.001949895341753,1.27081516251998e-05,0.007900809474412,6.85357185741392e-05,1.19130163543932,0.0216745290254142
152Eu,867.38,1,152Sm,B1,0.001857648719362,1.21143714776164e-05,0.007554294216585,6.58241712264161e-05,1.17687516763411,0.0214385378788058
152Eu,867.38,1,152Sm,B2,0.00184967343255,1.2080154226736e-05,0.007690664215767,6.67460928202826e-05,1.2007927562527,0.0218581788964654
152Eu,867.38,1,152Sm,B3,0.00189387664763,1.23506991210623e-05,0.00786020781559,6.78828137351923e-05,1.24108971453559,0.0225597595521034
226Ra,934.061,1,214Po,A0,0.001657881133158,1.51657039359767e-05,0.007582808821425,6.8942162213844e-05,NA,NA
226Ra,934.061,1,214Po,A1,0.001827235333383,1.66787760900865e-05,0.008455488221787,7.67605698208238e-05,1.17159720922661,0.0228067094144424
226Ra,934.061,1,214Po,A2,0.001639217291035,1.49937485907925e-05,0.007624544857294,6.93029916145103e-05,1.16469173693298,0.0226937581261152
226Ra,934.061,1,214Po,A3,0.001705114277286,1.55926601786291e-05,0.007767775702921,7.06106592220412e-05,1.11660825971938,0.0217555822315089
226Ra,934.061,1,214Po,B0,0.001831696479951,1.67340125693352e-05,0.008018175239951,7.28787373856552e-05,1.1027066468775,0.0214780072608689
226Ra,934.061,1,214Po,B1,0.001730835516661,1.5816687989861e-05,0.007496278162056,6.81610088134926e-05,1.1050217006829,0.0215286624815765
226Ra,934.061,1,214Po,B2,0.00173274304696,1.58465971018924e-05,0.007525054132997,6.84321142019692e-05,1.14963873184256,0.0224021762479556
226Ra,934.061,1,214Po,B3,0.001758329331703,1.60688397403791e-05,0.007928048648378,7.20480155693366e-05,1.14240325104275,0.0222521387879926
152Eu,964.072,1,152Sm,A0,0.001601275823898,8.3529135121708e-06,0.007629227152785,4.54405675648497e-05,NA,NA
152Eu,964.072,1,152Sm,A1,0.00176641404429,9.19478384181152e-06,0.00828559292814,4.86980180262818e-05,1.15582331114662,0.0191618087283861
152Eu,964.072,1,152Sm,A2,0.001588696596542,8.28770509902087e-06,0.007701395165475,4.57078592803981e-05,1.1175319511321,0.0185594617043757
152Eu,964.072,1,152Sm,A3,0.001644972962854,8.57648720722578e-06,0.008043487208528,4.76282102502844e-05,1.04029954989425,0.0172702590993751
152Eu,964.072,1,152Sm,B0,0.001804430861079,9.38841480397343e-06,0.007656848624282,4.52255850758436e-05,1.137554493459,0.0188730015433624
152Eu,964.072,1,152Sm,B1,0.001705172184039,8.88018593428433e-06,0.0073401196417,4.35525198901182e-05,1.1117977803366,0.0184610454076204
152Eu,964.072,1,152Sm,B2,0.001702692130504,8.86830529181419e-06,0.007329764483445,4.35045192572083e-05,1.15979961191549,0.0192587275981959
152Eu,964.072,1,152Sm,B3,0.001749339682303,9.10649880196965e-06,0.007485067760593,4.43012810063536e-05,1.20382657817323,0.0199789092503979
152Eu,1085.837,1,152Sm,A0,0.001491888338777,1.01283264147878e-05,0.0075567476232,5.75672386257626e-05,NA,NA
152Eu,1085.837,1,152Sm,A1,0.001549223465182,1.05183567816231e-05,0.008232427809029,6.19304019266984e-05,1.02025485041117,0.0181334255501724
152Eu,1085.837,1,152Sm,A2,0.00147937054216,1.00434597130669e-05,0.007588599168007,5.76603518016148e-05,1.05609684299186,0.0188091159354224
152Eu,1085.837,1,152Sm,A3,0.001532265583486,1.03987464912421e-05,0.00805338252899,6.09769748563852e-05,0.967831472428758,0.0172247214014551
152Eu,1085.837,1,152Sm,B0,0.00170246722204,1.15271657286912e-05,0.007708415552386,5.81665562430038e-05,1.06609440816458,0.0189537827970782
152Eu,1085.837,1,152Sm,B1,0.001588017712812,1.07635878284777e-05,0.007236887313997,5.49347005545904e-05,1.05018118682805,0.0186965134444143
152Eu,1085.837,1,152Sm,B2,0.001612937065897,1.09311402768366e-05,0.007215096924262,5.49270375605702e-05,1.11612311703584,0.0198802298416489
152Eu,1085.837,1,152Sm,B3,0.001632356782127,1.10603012445897e-05,0.007359123458328,5.57936535293209e-05,1.14254815950271,0.0203326509390458
152Eu,1089.737,1,152Gd,A0,0.001532661655877,1.15768504841445e-05,0.007488993930223,9.81986634070647e-05,NA,NA
152Eu,1089.737,1,152Gd,A1,0.001105821669708,9.10546981848281e-06,0.008196818580144,0.000101391553643,0.731412378245669,0.0152375332257992
152Eu,1089.737,1,152Gd,A2,0.001498001783641,1.12481350735339e-05,0.007681625369483,9.59965839820087e-05,1.05644672026772,0.0218029408596383
152Eu,1089.737,1,152Gd,A3,0.001914150586892,1.50818456255348e-05,0.009801411815997,0.000144492358053,0.993416767226452,0.022052122337905
152Eu,1089.737,1,152Gd,B0,0.00173992696584,1.30794062656022e-05,0.007740762192814,0.00010486644362,1.08499895206616,0.0231014605981379
152Eu,1089.737,1,152Gd,B1,0.0015884666819,1.17926761108921e-05,0.007735662524937,9.4487323221036e-05,0.982746027320732,0.0200850072193019
152Eu,1089.737,1,152Gd,B2,0.001549624413804,1.1648113542132e-05,0.007329951150382,9.19997366230973e-05,1.05550967910966,0.0218215465318716
152Eu,1089.737,1,152Gd,B3,0.001663987580411,1.24673987853518e-05,0.007497511944185,9.66700423404433e-05,1.14319003489852,0.0238619200491594
152Eu,1112.076,1,152Sm,A0,0.001445910649529,8.00506824438234e-06,0.006980834504596,4.43985184265602e-05,NA,NA
152Eu,1112.076,1,152Sm,A1,0.001607937968451,8.88044840635508e-06,0.007698030209455,4.81783419780705e-05,1.13243220613615,0.0190463530496665
152Eu,1112.076,1,152Sm,A2,0.001436440650649,7.95276853381296e-06,0.007064394892164,4.47365888656585e-05,1.10154212691093,0.0185676885648592
152Eu,1112.076,1,152Sm,A3,0.001497991734101,8.28737979333146e-06,0.007427560545472,4.79727155125961e-05,1.0259052167362,0.0173398493226199
152Eu,1112.076,1,152Sm,B0,0.001647136855407,9.09200318019677e-06,0.007039070723872,4.43555740684257e-05,1.12952638802809,0.0190174846168606
152Eu,1112.076,1,152Sm,B1,0.001553891702149,8.58571876917151e-06,0.006757284273673,4.27553048011271e-05,1.100548686435,0.0185451928894725
152Eu,1112.076,1,152Sm,B2,0.001540341447847,8.51398496275348e-06,0.006754201907501,4.27549051146259e-05,1.13862263530119,0.0191883987294135
152Eu,1112.076,1,152Sm,B3,0.001589534638369,8.77974712373574e-06,0.007032762309789,4.42649283792793e-05,1.16420530146425,0.0195997728085872
226Ra,1120.287,1,214Po,A0,0.001431020997025,1.2023463496103e-05,0.006640989516196,5.57149026946012e-05,NA,NA
226Ra,1120.287,1,214Po,A1,0.001587170914769,1.33298753543918e-05,0.007447965832885,6.24680947307184e-05,1.15533665815206,0.0217402300127632
226Ra,1120.287,1,214Po,A2,0.001416133937884,1.18987047420699e-05,0.006662417279543,5.58940095801102e-05,1.15149191404112,0.021675994338616
226Ra,1120.287,1,214Po,A3,0.001476097054201,1.24010716222081e-05,0.006829465237789,5.72929965360615e-05,1.09944178004919,0.0206950318005227
226Ra,1120.287,1,214Po,B0,0.00158423160669,1.33061577346779e-05,0.007035324591796,5.90175587481814e-05,1.08696750091377,0.0204573657352521
226Ra,1120.287,1,214Po,B1,0.001501319691099,1.26117063972058e-05,0.006610014747277,5.54560906636514e-05,1.08700478119358,0.0204617526268912
226Ra,1120.287,1,214Po,B2,0.001488259326665,1.25030090355998e-05,0.006585591481943,5.52529840568565e-05,1.12828983747954,0.0212390784285448
226Ra,1120.287,1,214Po,B3,0.001522217343584,1.27868988359838e-05,0.006952294656933,5.83225876780122e-05,1.1278049887303,0.0212267606457142
226Ra,1155.19,1,214Po,A0,0.001413552041576,1.38764811949031e-05,0.006670597803622,6.45408245854315e-05,NA,NA
226Ra,1155.19,1,214Po,A1,0.001561475066082,1.52482595158246e-05,0.007491442742567,7.22158024113838e-05,1.13003559096021,0.0226428452184848
226Ra,1155.19,1,214Po,A2,0.001391604350053,1.36587047473908e-05,0.006677859721634,6.45969549696117e-05,1.12892964498396,0.022671006314251
226Ra,1155.19,1,214Po,A3,0.00145106592826,1.4243218248545e-05,0.006881696652821,6.65562267230091e-05,1.07259468799812,0.0215386260552158
226Ra,1155.19,1,214Po,B0,0.001565683065494,1.53315310653672e-05,0.007090103033602,6.85740596309597e-05,1.06594140749203,0.0213914450024697
226Ra,1155.19,1,214Po,B1,0.001482740232445,1.45172397473971e-05,0.006653662638831,6.43854073609584e-05,1.06651015921589,0.0214070224556361
226Ra,1155.19,1,214Po,B2,0.001465435509282,1.43966390452326e-05,0.006567522256592,6.36241451993076e-05,1.11404313864461,0.0223848637242126
226Ra,1155.19,1,214Po,B3,0.001490032843352,1.46089332520111e-05,0.006973651432085,6.74500558985613e-05,1.10057874480695,0.0220934358451149
152Eu,1212.948,1,152Sm,A0,0.00129950711937,1.07406543673377e-05,0.005952118629412,8.80992130671569e-05,NA,NA
152Eu,1212.948,1,152Sm,A1,0.001454842707305,1.18215178994299e-05,0.006637394520848,9.21034458267911e-05,1.18834061789188,0.0258115766970176
152Eu,1212.948,1,152Sm,A2,0.001308628351778,1.07804547904579e-05,0.00592476885171,8.75398634809512e-05,1.19655676178253,0.0267436324682901
152Eu,1212.948,1,152Sm,A3,0.00134513193409,1.10727587360324e-05,0.006273549140854,0.000140442832984,1.09067560866275,0.0305052521670929
152Eu,1212.948,1,152Sm,B0,0.001482534419482,1.20225329268375e-05,0.006098054532411,8.71834495205493e-05,1.17353354033361,0.0258034218474465
152Eu,1212.948,1,152Sm,B1,0.001410260572056,1.14606954254841e-05,0.006028254095699,8.59858842826425e-05,1.11961450481706,0.0246031752591189
152Eu,1212.948,1,152Sm,B2,0.001389804574565,1.13731614929538e-05,0.005654676878158,8.3542807428325e-05,1.22710801875269,0.0274010274079441
152Eu,1212.948,1,152Sm,B3,0.001440883077287,1.17186779565913e-05,0.005996952214335,8.55366397398831e-05,1.2376095968506,0.0271962361291867
226Ra,1238.11,1,214Po,A0,0.001312928804082,1.15057936573178e-05,0.006077715250446,5.30479107541288e-05,NA,NA
226Ra,1238.11,1,214Po,A1,0.001457357455071,1.27559498088977e-05,0.006827470829747,5.95431763552643e-05,1.15725420210995,0.0221358244558246
226Ra,1238.11,1,214Po,A2,0.001297849406801,1.13745463046597e-05,0.006098638748339,5.32292862120128e-05,1.15286853392163,0.0220665753984022
226Ra,1238.11,1,214Po,A3,0.001355393349641,1.18749569831586e-05,0.006251657595319,5.45592129792542e-05,1.10284426396868,0.0211066816527598
226Ra,1238.11,1,214Po,B0,0.001458038458202,1.27661012191484e-05,0.0064609440459,5.63796657028337e-05,1.0893188646469,0.0208429395746848
226Ra,1238.11,1,214Po,B1,0.001382570610398,1.21094593353348e-05,0.006074942981839,5.30247657014931e-05,1.089195445444,0.0208457221685807
226Ra,1238.11,1,214Po,B2,0.001370656540926,1.20094150889043e-05,0.006040574534011,5.27335965991779e-05,1.13288870303482,0.0216840350094757
226Ra,1238.11,1,214Po,B3,0.001397092113581,1.22370009439195e-05,0.006379693690248,5.56738548148302e-05,1.12800423368712,0.0215852362374782
226Ra,1280.96,1,214Po,A0,0.001283531621874,1.24986770254211e-05,0.006001931746652,5.73927080859667e-05,NA,NA
