Nuclide,Energy,is_InCas,Daughter,Detector,x100mm,dx100mm,x13mm,dx13mm
152Eu,121.7817,1,152Sm,B0,0.008743767974809,4.81300682455807E-05,0.037996886395663,0.000212825018225
152Eu,244.6974,1,152Sm,B0,0.005739289759867,3.53657987659688E-05,0.023886090803773,0.000157507446162
152Eu,344.2785,1,152Gd,B0,0.004351904246628,2.37794898238442E-05,0.019181064881332,0.000108082623033
152Eu,411.1165,1,152Gd,B0,0.00369599263384,2.12793287706677E-05,0.015559104292504,0.000126301347366
152Eu,443.965,1,152Sm,B0,0.003434511580265,1.947632473958E-05,0.014269492342967,0.00010681
152Eu,778.9045,1,152Gd,B0,0.002152929267124,1.21097631797499E-05,0.009251283174569,5.79289711990337E-05
152Eu,867.38,1,152Sm,B0,0.001949895341753,1.27081516251998E-05,0.007900809474412,6.85357185741392E-05
152Eu,964.072,1,152Sm,B0,0.001804430861079,9.38841480397343E-06,0.007656848624282,4.52255850758436E-05
152Eu,1085.837,1,152Sm,B0,0.00170246722204,1.15271657286912E-05,0.007708415552386,5.81665562430038E-05
152Eu,1089.737,1,152Gd,B0,0.00173992696584,1.30794062656022E-05,0.007740762192814,0.00010486644362
152Eu,1112.076,1,152Sm,B0,0.001647136855407,9.09200318019677E-06,0.007039070723872,4.43555740684257E-05
152Eu,1212.948,1,152Sm,B0,0.001482534419482,1.20225329268375E-05,0.006098054532411,8.71834495205493E-05
152Eu,1299.142,1,152Gd,B0,0.001421518463326,1.01877914010815E-05,0.006020732253175,7.26279044520051E-05
152Eu,1408.013,1,152Sm,B0,0.001332143980164,7.14462525029031E-06,0.005691409816335,3.39995698461477E-05
152Eu,121.7817,1,152Sm,B1,0.008587428254388,4.72703605931313E-05,0.038071796949978,0.000213194487428
152Eu,244.6974,1,152Sm,B1,0.005590927965655,3.44547446573396E-05,0.023462663293329,0.000154574978649
152Eu,344.2785,1,152Gd,B1,0.004196855434045,2.29349937546628E-05,0.01875973893153,0.000105755596886
152Eu,411.1165,1,152Gd,B1,0.003530060117601,2.03470762246167E-05,0.015151168313278,0.000122733756855
152Eu,443.965,1,152Sm,B1,0.003286138937528,1.86562302087442E-05,0.013780728556953,0.000103453338159
152Eu,778.9045,1,152Gd,B1,0.002044313955193,1.15061212033407E-05,0.008932552889965,5.60678964813911E-05
152Eu,867.38,1,152Sm,B1,0.001857648719362,1.21143714776164E-05,0.007554294216585,6.58241712264161E-05
152Eu,964.072,1,152Sm,B1,0.001705172184039,8.88018593428433E-06,0.0073401196417,4.35525198901182E-05
152Eu,1085.837,1,152Sm,B1,0.001588017712812,1.07635878284777E-05,0.007236887313997,5.49347005545904E-05
152Eu,1089.737,1,152Gd,B1,0.0015884666819,1.17926761108921E-05,0.007735662524937,9.4487323221036E-05
152Eu,1112.076,1,152Sm,B1,0.001553891702149,8.58571876917151E-06,0.006757284273673,4.27553048011271E-05
152Eu,1212.948,1,152Sm,B1,0.001410260572056,1.14606954254841E-05,0.006028254095699,8.59858842826425E-05
152Eu,1299.142,1,152Gd,B1,0.001349260901558,9.71347924893175E-06,0.00578723011453,7.04510905547035E-05
152Eu,1408.013,1,152Sm,B1,0.001265810270142,6.79402564402295E-06,0.005436856510969,3.26349716378609E-05
152Eu,121.7817,1,152Sm,B2,0.008529616650343,4.69526472135024E-05,0.037088315726131,0.000207774897101
152Eu,244.6974,1,152Sm,B2,0.005569805935452,3.43272051939216E-05,0.023347272808567,0.000153861131518
152Eu,344.2785,1,152Gd,B2,0.004191978184668,2.29084847377317E-05,0.018541050996509,0.000104554852796
152Eu,411.1165,1,152Gd,B2,0.003547770308653,2.04457325862292E-05,0.01488868827365,0.0001206797874
152Eu,443.965,1,152Sm,B2,0.003300605478357,1.87344594498067E-05,0.013796178932752,0.000103139126353
152Eu,778.9045,1,152Gd,B2,0.002032831241344,1.14444168725187E-05,0.008815604428766,5.54514514735442E-05
152Eu,867.38,1,152Sm,B2,0.00184967343255,1.2080154226736E-05,0.007690664215767,6.67460928202826E-05
152Eu,964.072,1,152Sm,B2,0.001702692130504,8.86830529181419E-06,0.007329764483445,4.35045192572083E-05
152Eu,1085.837,1,152Sm,B2,0.001612937065897,1.09311402768366E-05,0.007215096924262,5.49270375605702E-05
152Eu,1089.737,1,152Gd,B2,0.001549624413804,1.1648113542132E-05,0.007329951150382,9.19997366230973E-05
152Eu,1112.076,1,152Sm,B2,0.001540341447847,8.51398496275348E-06,0.006754201907501,4.27549051146259E-05
152Eu,1212.948,1,152Sm,B2,0.001389804574565,1.13731614929538E-05,0.005654676878158,8.3542807428325E-05
152Eu,1299.142,1,152Gd,B2,0.001325374704208,9.58084865636764E-06,0.005614083810096,6.95968870165027E-05
152Eu,1408.013,1,152Sm,B2,0.001241806754975,6.66738195249568E-06,0.005368248519011,3.22680935231218E-05
152Eu,121.7817,1,152Sm,B3,0.008918804200187,4.90910925134508E-05,0.038098963320798,0.000213351128662
152Eu,244.6974,1,152Sm,B3,0.005774320330319,3.55726105817171E-05,0.024079047797503,0.000158311121506
152Eu,344.2785,1,152Gd,B3,0.004323848973764,2.36262410107718E-05,0.019070206047752,0.000107450334055
152Eu,411.1165,1,152Gd,B3,0.003647052890617,2.09736938276249E-05,0.015506968397086,0.000124399538981
152Eu,443.965,1,152Sm,B3,0.003373138661446,1.91250248041117E-05,0.014237725675791,0.000105722409827
152Eu,778.9045,1,152Gd,B3,0.002089206437538,1.1756652669004E-05,0.009055928895422,5.67758413055384E-05
152Eu,867.38,1,152Sm,B3,0.00189387664763,1.23506991210623E-05,0.00786020781559,6.78828137351923E-05
152Eu,964.072,1,152Sm,B3,0.001749339682303,9.10649880196965E-06,0.007485067760593,4.43012810063536E-05
152Eu,1085.837,1,152Sm,B3,0.001632356782127,1.10603012445897E-05,0.007359123458328,5.57936535293209E-05
152Eu,1089.737,1,152Gd,B3,0.001663987580411,1.24673987853518E-05,0.007497511944185,9.66700423404433E-05
152Eu,1112.076,1,152Sm,B3,0.001589534638369,8.77974712373574E-06,0.007032762309789,4.42649283792793E-05
152Eu,1212.948,1,152Sm,B3,0.001440883077287,1.17186779565913E-05,0.005996952214335,8.55366397398831E-05
152Eu,1299.142,1,152Gd,B3,0.001369091075475,9.85585611696499E-06,0.005879777455693,7.13411349863344E-05
152Eu,1408.013,1,152Sm,B3,0.001287967941072,6.91111445754491E-06,0.005631777201134,3.36782165086731E-05
226Ra,186.211,1,222Rn,A0,0.006925651881969,6.12453665373888E-05,0.0330991336904,0.000292178005812
226Ra,241.997,1,214Bi,A0,0.005592654869121,5.14482286536245E-05,0.027068734360249,0.000248817871493
226Ra,295.224,1,214Bi,A0,0.004721351178894,4.04635631242563E-05,0.022882212397048,0.000196033675754
226Ra,351.932,1,214Bi,A0,0.0040238946302,3.44061063972597E-05,0.019526031279108,0.00016691921498
226Ra,609.316,1,214Po,A0,0.002392949594867,1.97559156640368E-05,0.011099371099379,9.16087214560495E-05
226Ra,665.453,1,214Po,A0,0.00219626534315,1.86217400904028E-05,0.009815416752226,8.2305394508316E-05
226Ra,768.367,1,214Po,A0,0.001963400022387,1.72723420886509E-05,0.009093541549919,7.97380129111391E-05
226Ra,806.185,1,214Po,A0,0.001838767235833,1.83616821302748E-05,0.008162242286902,8.04743788616179E-05
226Ra,934.061,1,214Po,A0,0.001657881133158,1.51657039359767E-05,0.007582808821425,6.8942162213844E-05
226Ra,1120.287,1,214Po,A0,0.001431020997025,1.2023463496103E-05,0.006640989516196,5.57149026946012E-05
226Ra,1155.19,1,214Po,A0,0.001413552041576,1.38764811949031E-05,0.006670597803622,6.45408245854315E-05
226Ra,1238.11,1,214Po,A0,0.001312928804082,1.15057936573178E-05,0.006077715250446,5.30479107541288E-05
226Ra,1280.96,1,214Po,A0,0.001283531621874,1.24986770254211E-05,0.006001931746652,5.73927080859667E-05
226Ra,1377.669,1,214Po,A0,0.001217199278014,1.1356767810593E-05,0.005970032350107,5.5334437478113E-05
226Ra,1401.516,1,214Po,A0,0.001181006695855,1.15261198657297E-05,0.005512981299086,5.26079385249576E-05
226Ra,1407.993,1,214Po,A0,0.001162502269461,1.06802869037291E-05,0.00529217143867,4.80686330655174E-05
226Ra,1509.217,1,214Po,A0,0.001109597744395,1.22014431427205E-05,0.005213430940314,5.66984191710273E-05
226Ra,1661.316,1,214Po,A0,0.001033684014552,1.1423727993878E-05,0.004910996478196,5.30101814664503E-05
226Ra,1729.64,1,214Po,A0,0.001002722292406,9.27987679250273E-06,0.005257880584404,4.80872869794013E-05
226Ra,1764.539,1,214Po,A0,0.000971481321161,8.57882109145559E-06,0.004726024850119,4.16499854004739E-05
226Ra,1847.42,1,214Po,A0,0.000938480809655,9.49499575166946E-06,0.004776150791184,4.76120628979855E-05
226Ra,2118.536,1,214Po,A0,0.000809515798577,8.8500206618495E-06,0.004081594953671,4.35315177768942E-05
226Ra,2204.071,1,214Po,A0,0.000777416007566,1.62282164560385E-05,0.003799873065097,7.92095448710702E-05
226Ra,2447.673,1,214Po,A0,0.000705626250695,7.73084066680228E-06,0.00344117843122,3.70356186556301E-05
226Ra,186.211,1,222Rn,A1,0.007098879656081,6.27535955426063E-05,0.034862669645052,0.000307669834654
226Ra,241.997,1,214Bi,A1,0.005885826942561,5.4137918329463E-05,0.028862768622205,0.000265284476262
226Ra,295.224,1,214Bi,A1,0.004991746049239,4.27781682484545E-05,0.024540632701662,0.000210233141181
226Ra,351.932,1,214Bi,A1,0.004278164666665,3.65788853184506E-05,0.021174142117438,0.000181003560537
226Ra,609.316,1,214Po,A1,0.002597359533126,2.14421470240411E-05,0.012209831264956,0.000100769661898
226Ra,665.453,1,214Po,A1,0.002383328959212,2.01239500462377E-05,0.010727470618103,8.97023316511335E-05
226Ra,768.367,1,214Po,A1,0.00214967392633,1.8893837144776E-05,0.010056297951294,8.81258712239321E-05
226Ra,806.185,1,214Po,A1,0.002026873889803,2.01190464938301E-05,0.009004765918442,8.84388202036844E-05
226Ra,934.061,1,214Po,A1,0.001827235333383,1.66787760900865E-05,0.008455488221787,7.67605698208238E-05
226Ra,1120.287,1,214Po,A1,0.001587170914769,1.33298753543918E-05,0.007447965832885,6.24680947307184E-05
226Ra,1155.19,1,214Po,A1,0.001561475066082,1.52482595158246E-05,0.007491442742567,7.22158024113838E-05
226Ra,1238.11,1,214Po,A1,0.001457357455071,1.27559498088977E-05,0.006827470829747,5.95431763552643E-05
226Ra,1280.96,1,214Po,A1,0.001434095312368,1.38702415036185E-05,0.006706541723727,6.38672007084143E-05
226Ra,1377.669,1,214Po,A1,0.001356915688964,1.26355769185209E-05,0.006788063251884,6.28372583816999E-05
226Ra,1401.516,1,214Po,A1,0.001312180583153,1.26974794237598E-05,0.006171178445983,5.85635984560894E-05
226Ra,1407.993,1,214Po,A1,0.001302853782038,1.19172766353979E-05,0.005966361786646,5.40391067789384E-05
226Ra,1509.217,1,214Po,A1,0.001241191405528,1.35939587674587E-05,0.005899945367516,6.39998422459929E-05
226Ra,1661.316,1,214Po,A1,0.001146960349352,1.2579405155985E-05,0.005616661137272,6.02754252033225E-05
226Ra,1729.64,1,214Po,A1,0.001129101567946,1.04150110654106E-05,0.00607898756522,5.54820143267143E-05
226Ra,1764.539,1,214Po,A1,0.001096071206819,9.673473695607E-06,0.005393266756051,4.751374230113E-05
226Ra,1847.42,1,214Po,A1,0.001058330528153,1.06624355807931E-05,0.005497417927403,5.46565320154091E-05
226Ra,2118.536,1,214Po,A1,0.000921984637503,1.00000974232071E-05,0.004698337662879,4.9884092795414E-05
226Ra,2204.071,1,214Po,A1,0.000877779851589,1.83161751554774E-05,0.004361492432551,9.08940508779948E-05
226Ra,2447.673,1,214Po,A1,0.000797624537278,8.69533850054036E-06,0.003978206511464,4.2669488934389E-05
226Ra,186.211,1,222Rn,A2,0.006772770903865,5.98886614021501E-05,0.033764445835941,0.000297978723714
226Ra,241.997,1,214Bi,A2,0.005585636820199,5.13834009702448E-05,0.027505501219059,0.000252822952293
226Ra,295.224,1,214Bi,A2,0.004698306038478,4.02658404770833E-05,0.023177097508743,0.000198557683806
226Ra,351.932,1,214Bi,A2,0.004005383045304,3.42477887485588E-05,0.019745436152899,0.000168793903184
226Ra,609.316,1,214Po,A2,0.002377788835469,1.96307871338913E-05,0.011186078333293,9.23239387869583E-05
226Ra,665.453,1,214Po,A2,0.002178392391587,1.84605248231078E-05,0.009793613068303,8.20881552511889E-05
226Ra,768.367,1,214Po,A2,0.001944983269165,1.71108815426166E-05,0.00914278751794,8.01662985571451E-05
226Ra,806.185,1,214Po,A2,0.001802690877941,1.80033520576146E-05,0.008170994494568,8.05397817488408E-05
226Ra,934.061,1,214Po,A2,0.001639217291035,1.49937485907925E-05,0.007624544857294,6.93029916145103E-05
226Ra,1120.287,1,214Po,A2,0.001416133937884,1.18987047420699E-05,0.006662417279543,5.58940095801102E-05
226Ra,1155.19,1,214Po,A2,0.001391604350053,1.36587047473908E-05,0.006677859721634,6.45969549696117E-05
226Ra,1238.11,1,214Po,A2,0.001297849406801,1.13745463046597E-05,0.006098638748339,5.32292862120128E-05
226Ra,1280.96,1,214Po,A2,0.001265395787892,1.23306891902182E-05,0.005979761832281,5.72223226173164E-05
226Ra,1377.669,1,214Po,A2,0.001203765590278,1.12319393014712E-05,0.006005202893589,5.56585570232893E-05
226Ra,1401.516,1,214Po,A2,0.001167258156582,1.13914285319938E-05,0.005525432494766,5.27483828231716E-05
226Ra,1407.993,1,214Po,A2,0.001143147889518,1.05053802251228E-05,0.005299127248621,4.81372893669657E-05
226Ra,1509.217,1,214Po,A2,0.001090487536078,1.19957711015881E-05,0.005233633533821,5.69271354791443E-05
226Ra,1661.316,1,214Po,A2,0.001019451079471,1.12663204880885E-05,0.004948127136107,5.34033726740705E-05
226Ra,1729.64,1,214Po,A2,0.000994364959005,9.20216635137296E-06,0.005316383898405,4.86132926240356E-05
226Ra,1764.539,1,214Po,A2,0.000961051247697,8.48705522475047E-06,0.004752773469986,4.188509013151E-05
226Ra,1847.42,1,214Po,A2,0.000931564409486,9.42489852644535E-06,0.004818737819371,4.80308171247683E-05
226Ra,2118.536,1,214Po,A2,0.000802601783626,8.77089145561119E-06,0.004099680358498,4.37169104334132E-05
226Ra,2204.071,1,214Po,A2,0.00076717181465,1.60151082683906E-05,0.003801896489515,7.92515213814978E-05
226Ra,2447.673,1,214Po,A2,0.000694370344954,7.61190854339427E-06,0.003427562975811,3.68912657814631E-05
226Ra,186.211,1,222Rn,A3,0.006956834451468,6.15246367293853E-05,0.034038452721576,0.000300468974063
226Ra,241.997,1,214Bi,A3,0.005698469318203,5.24208428430964E-05,0.02754707673127,0.000253210183904
226Ra,295.224,1,214Bi,A3,0.0048122280831,4.12420112746227E-05,0.02323909817575,0.000199089967869
226Ra,351.932,1,214Bi,A3,0.004104009350662,3.50907665387938E-05,0.019865117711715,0.000169817174026
226Ra,609.316,1,214Po,A3,0.002450427432247,2.02301027619994E-05,0.011329365024781,9.35062351015135E-05
226Ra,665.453,1,214Po,A3,0.002245943820733,1.90343499058228E-05,0.009972850891313,8.36151086445488E-05
226Ra,768.367,1,214Po,A3,0.002018462695936,1.77540101900703E-05,0.009308815631802,8.1619014010279E-05
226Ra,806.185,1,214Po,A3,0.00189931347408,1.89668472059308E-05,0.00832322747714,8.20439083836824E-05
226Ra,934.061,1,214Po,A3,0.001705114277286,1.55926601786291E-05,0.007767775702921,7.06106592220412E-05
226Ra,1120.287,1,214Po,A3,0.001476097054201,1.24010716222081E-05,0.006829465237789,5.72929965360615E-05
226Ra,1155.19,1,214Po,A3,0.00145106592826,1.4243218248545E-05,0.006881696652821,6.65562267230091E-05
226Ra,1238.11,1,214Po,A3,0.001355393349641,1.18749569831586E-05,0.006251657595319,5.45592129792542E-05
226Ra,1280.96,1,214Po,A3,0.001324950146698,1.29066673577936E-05,0.006173010874558,5.90443113657057E-05
226Ra,1377.669,1,214Po,A3,0.001250853345487,1.1669761142508E-05,0.006168174466456,5.71629714711623E-05
226Ra,1401.516,1,214Po,A3,0.001218112333574,1.19004641457535E-05,0.005662246951081,5.40519377895955E-05
226Ra,1407.993,1,214Po,A3,0.001204352719106,1.1063295251621E-05,0.005455341851527,4.9550451131567E-05
226Ra,1509.217,1,214Po,A3,0.001153476880221,1.26810853225153E-05,0.005396835340729,5.86965906470174E-05
226Ra,1661.316,1,214Po,A3,0.00108041500522,1.1932468291527E-05,0.005135038060066,5.54028497506654E-05
226Ra,1729.64,1,214Po,A3,0.001044571033306,9.6587718760531E-06,0.00545676800141,4.98880729255944E-05
226Ra,1764.539,1,214Po,A3,0.001006855918196,8.8897910641956E-06,0.004878774789455,4.29934276341713E-05
226Ra,1847.42,1,214Po,A3,0.000973670073323,9.84452199421239E-06,0.004958992138547,4.94191413820702E-05
226Ra,2118.536,1,214Po,A3,0.000843748926271,9.20651214152405E-06,0.00421449306758,4.49260190974044E-05
226Ra,2204.071,1,214Po,A3,0.000794398155614,1.65821731766927E-05,0.003898783703811,8.12684526791138E-05
226Ra,2447.673,1,214Po,A3,0.0007280798604,7.9667784658739E-06,0.003538262049494,3.80563358444458E-05
226Ra,186.211,1,222Rn,B0,0.007382124437905,6.52704412511139E-05,0.034735394347678,0.000306587274784
226Ra,241.997,1,214Bi,B0,0.0059316232773,5.45621658438549E-05,0.027861439763829,0.000256103851238
226Ra,295.224,1,214Bi,B0,0.005004347546163,4.28868590405102E-05,0.023558933083662,0.000201829542711
226Ra,351.932,1,214Bi,B0,0.004286048126747,3.6646463625198E-05,0.020122374790054,0.000172016143779
226Ra,609.316,1,214Po,B0,0.002592586726434,2.14028942435743E-05,0.011573632319654,9.55217512570492E-05
226Ra,665.453,1,214Po,B0,0.002379248434664,2.01416773830414E-05,0.010108428195915,8.48107295696968E-05
226Ra,768.367,1,214Po,B0,0.002152865386936,1.89270236613321E-05,0.009543741713945,8.36753991900678E-05
226Ra,806.185,1,214Po,B0,0.00199300873489,1.9872688731612E-05,0.008576282245017,8.4551625095106E-05
226Ra,934.061,1,214Po,B0,0.001831696479951,1.67340125693352E-05,0.008018175239951,7.28787373856552E-05
226Ra,1120.287,1,214Po,B0,0.00158423160669,1.33061577346779E-05,0.007035324591796,5.90175587481814E-05
226Ra,1155.19,1,214Po,B0,0.001565683065494,1.53315310653672E-05,0.007090103033602,6.85740596309597E-05
226Ra,1238.11,1,214Po,B0,0.001458038458202,1.27661012191484E-05,0.0064609440459,5.63796657028337E-05
226Ra,1280.96,1,214Po,B0,0.001438921430326,1.39705837599331E-05,0.006342269701432,6.06672005934606E-05
226Ra,1377.669,1,214Po,B0,0.001357815562442,1.26521946550652E-05,0.00637873968185,5.910402706422E-05
226Ra,1401.516,1,214Po,B0,0.001327024577559,1.2911449610237E-05,0.005903346222603,5.63244440925977E-05
226Ra,1407.993,1,214Po,B0,0.001303379970282,1.19461638962526E-05,0.005645693615545,5.12614332307556E-05
226Ra,1509.217,1,214Po,B0,0.001241004510944,1.36220432445044E-05,0.005577535808775,6.06380122586789E-05
226Ra,1661.316,1,214Po,B0,0.001169005929667,1.28719545867922E-05,0.005351789748541,5.77101790082269E-05
226Ra,1729.64,1,214Po,B0,0.00112968634282,1.04303787397134E-05,0.005683733816951,5.19417900004547E-05
226Ra,1764.539,1,214Po,B0,0.001095244497755,9.66675755925281E-06,0.005082224361645,4.47821175827E-05
226Ra,1847.42,1,214Po,B0,0.001060102149979,1.06966485398902E-05,0.005176399163958,5.15562302125663E-05
226Ra,2118.536,1,214Po,B0,0.000919092490676,9.99702349647079E-06,0.004429557163853,4.71597650744413E-05
226Ra,2204.071,1,214Po,B0,0.00088060362845,1.83755981391685E-05,0.004089779655406,8.5244172436434E-05
226Ra,2447.673,1,214Po,B0,0.000798009423158,8.70228778597843E-06,0.003743220684293,4.02165170805417E-05
226Ra,186.211,1,222Rn,B1,0.007082216978085,6.26129146476301E-05,0.03372278711734,0.000297630868115
226Ra,241.997,1,214Bi,B1,0.005750749035352,5.28985206781771E-05,0.02670969491043,0.000245516324459
226Ra,295.224,1,214Bi,B1,0.004835244054015,4.14383107982187E-05,0.022459909817776,0.000192417060112
226Ra,351.932,1,214Bi,B1,0.004126206460778,3.52803350422516E-05,0.019113805735732,0.000163396356474
226Ra,609.316,1,214Po,B1,0.002478383010959,2.04606778942549E-05,0.010906509736085,9.00176967750861E-05
226Ra,665.453,1,214Po,B1,0.002279207541002,1.92845898680965E-05,0.009508852639716,7.97812436828362E-05
226Ra,768.367,1,214Po,B1,0.002039654940094,1.79362014718003E-05,0.008923561753613,7.82539156429297E-05
226Ra,806.185,1,214Po,B1,0.001913355831557,1.90505053772804E-05,0.00806498809217,7.94739026761654E-05
226Ra,934.061,1,214Po,B1,0.001730835516661,1.5816687989861E-05,0.007496278162056,6.81610088134926E-05
226Ra,1120.287,1,214Po,B1,0.001501319691099,1.26117063972058E-05,0.006610014747277,5.54560906636514E-05
226Ra,1155.19,1,214Po,B1,0.001482740232445,1.45172397473971E-05,0.006653662638831,6.43854073609584E-05
226Ra,1238.11,1,214Po,B1,0.001382570610398,1.21094593353348E-05,0.006074942981839,5.30247657014931E-05
226Ra,1280.96,1,214Po,B1,0.001340161063721,1.30189451093431E-05,0.005991762112108,5.72768031223004E-05
